relName,className,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn,bug
lang\ArrayUtils.java,org.apache.commons.lang.ArrayUtils,1576,479,5,272,0.985344828,0,0,2,0,1,0,0,0,0.004166667,0,0.003663004,0,0,0,1581,1576,1,6,73,74,0.000634518,0.003807107,0.046319797,0.046954315,2
lang\BitField.java,org.apache.commons.lang.BitField,67,23,0,18,0.764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,0,0,0,0,0,0,0,0,0
lang\BooleanUtils.java,org.apache.commons.lang.BooleanUtils,290,118,2,38,,0,0,2,0,1,0,0,0,0.016806723,0,0.025641026,0,0,0,287,290,3,0,2,5,0.010344828,0,0.006896552,0.017241379,0
lang\CharEncoding.java,org.apache.commons.lang.CharEncoding,19,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0
lang\CharRange.java,org.apache.commons.lang.CharRange,85,23,0,12,0.709090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,7,7,2,9,0.082352941,0.082352941,0.023529412,0.105882353,0
lang\CharSet.java,org.apache.commons.lang.CharSet,94,22,1,13,1.013888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,94,1,3,4,5,0.010638298,0.031914894,0.042553191,0.053191489,0
lang\CharSetUtils.java,org.apache.commons.lang.CharSetUtils,132,34,3,21,,0,0,7,0,2,0,0,0,0.2,0,0.090909091,0,0,0,104,132,28,0,2,30,0.212121212,0,0.015151515,0.227272727,0
lang\CharUtils.java,org.apache.commons.lang.CharUtils,144,39,1,24,1.027272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,144,0,0,0,0,0,0,0,0,0
lang\ClassUtils.java,org.apache.commons.lang.ClassUtils,342,86,3,92,0.99378882,0,0,34,0,11,0.008074534,0,0,0.390804598,0,0.11827957,0.004049844,0,0,450,342,14,122,71,85,0.040935673,0.356725146,0.207602339,0.248538012,2
lang\enum\EnumUtils.java,org.apache.commons.lang.EnumUtils,20,6,2,12,,0,0,3,2,10,0,0,0,0.428571429,0.666666667,0.769230769,0,0,0,11,20,9,0,6,15,0.45,0,0.3,0.75,0
lang\LocaleUtils.java,org.apache.commons.lang.LocaleUtils,127,31,0,9,1.025,0,0,5,0,2,0.075,0,0,0.15625,0,0.2,0.037037037,0,0,134,127,7,14,24,31,0.05511811,0.11023622,0.188976378,0.244094488,0
lang\ObjectUtils.java,org.apache.commons.lang.ObjectUtils,68,25,1,10,1.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,68,4,5,7,11,0.058823529,0.073529412,0.102941176,0.161764706,0
lang\RandomStringUtils.java,org.apache.commons.lang.RandomStringUtils,97,26,0,12,0.727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,0,0,0,0,0,0,0,0,0
lang\SerializationException.java,org.apache.commons.lang.SerializationException,15,4,0,42,1.333333333,2,0,0,0,38,0,1,0,0,0,0.88372093,0,0.333333333,0,15,15,0,0,1,1,0,0,0.066666667,0.066666667,0
lang\SerializationUtils.java,org.apache.commons.lang.SerializationUtils,60,16,1,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,0,0
lang\StringEscapeUtils.java,org.apache.commons.lang.StringEscapeUtils,281,76,3,35,,0,0,55,0,1,0,0,0,0.714285714,0,0.027777778,0,0,0,65,281,222,6,21,243,0.790035587,0.021352313,0.074733096,0.864768683,1
lang\StringUtils.java,org.apache.commons.lang.StringUtils,1608,484,6,169,0.938356164,0,0,50,3,14,0.001241151,0,0,0.103092784,0.428571429,0.082352941,0.000640311,0,0,1792,1608,120,304,66,186,0.074626866,0.189054726,0.041044776,0.115671642,2
lang\SystemUtils.java,org.apache.commons.lang.SystemUtils,178,30,0,16,1.052968037,0,0,1,0,1,0.004947021,0,0,0.032258065,0,0.058823529,0.002409692,0,0,175,177,3,1,0,3,0.016949153,0.005649718,0,0.016949153,0
lang\Validate.java,org.apache.commons.lang.Validate,133,49,0,22,,0,0,1,1,3,0,0,0,0.02,1,0.130434783,0,0,0,133,133,6,6,15,21,0.045112782,0.045112782,0.112781955,0.157894737,0
