relName,className,WMC,NA,NAIMP,NM,NMIMP,NumPara,SLOC1,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,ICP,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
math\ArgumentOutsideDomainException.java,org.apache.commons.math.ArgumentOutsideDomainException,1,7,1,20,1,3,7,4,3,0,3,0,0,0,1,19,0,3,0,0,1,0,0,0,0,1,1,undefined,undefined,0,undefined,0,0,1,1,0,1,1,0,0,0,1,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0
math\ConvergenceException.java,org.apache.commons.math.ConvergenceException,4,5,1,14,4,6,15,10,2,2,2,0,0,0,4,10,0,2,3,5,1,0,0,0,0,0.5,-1,undefined,undefined,0,undefined,6,6,4,4,1.33333333333333,0.333333333333333,0,0,0,0,-1,undefined,0,0,3,432.688906753016,0,0,0,0,3,9,9,3,0,0,0,5,4,1,0,16,0
math\ConvergingAlgorithmImpl.java,org.apache.commons.math.ConvergingAlgorithmImpl,11,8,8,11,11,5,50,37,0,2,0,0,0,0,11,0,0,0,3,15,0,0,0,0,0,0.227272727272727,0.2,0.2,0.2,0,0.2,36,17,1,1,0.85,0.618181818181818,0.345454545454545,0.227272727272727,1,0.7,-1,0.2,0,0,0,2613.67278291109,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,11,0
math\DimensionMismatchException.java,org.apache.commons.math.DimensionMismatchException,3,7,3,13,3,2,16,12,2,0,2,0,0,0,3,10,0,2,0,0,1,0,0,0,0,0.333333333333333,0,0,0,0,0,1,0,1,1,0.833333333333333,0.333333333333333,0.666666666666667,0.444444444444444,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15,0
math\DuplicateSampleAbscissaException.java,org.apache.commons.math.DuplicateSampleAbscissaException,2,5,1,12,2,3,10,6,2,0,2,0,0,0,2,10,0,2,0,0,1,0,0,0,0,0.5,0,1,1,0,1,1,1,2,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,2,0,14,0
math\FunctionEvaluationException.java,org.apache.commons.math.FunctionEvaluationException,9,6,2,19,9,20,45,29,2,1,2,0,0,0,9,10,0,2,1,1,1,0,0,0,0,0.444444444444444,1,1,1,0,1,0,0,1,1,0.5625,0.444444444444444,1,0.5,1,0.125,-1,1,0,0,6,278.860741798299,1,0,0,0,0,20,18,7,2,0,0,5,8,0,1,22,0
math\MathConfigurationException.java,org.apache.commons.math.MathConfigurationException,4,5,1,14,4,6,15,10,2,0,2,0,0,0,4,10,0,2,0,0,1,0,0,0,0,0.5,-1,undefined,undefined,0,undefined,6,6,4,4,1.33333333333333,0.333333333333333,0,0,0,0,-1,undefined,0,0,4,0,0,0,0,0,0,10,10,4,0,0,0,0,4,0,0,16,0
math\MathException.java,org.apache.commons.math.MathException,18,4,4,12,12,14,64,45,1,3,1,0,0,0,12,0,0,1,13,19,1,0,0,0,0,0.194444444444444,0.272727272727273,0.4,0.466666666666667,20,0.4,46,26,6,2,0.795454545454545,0.676767676767677,0.393939393939394,0.270833333333333,0.818181818181818,0.818181818181818,-0.76923076923077,0.333333333333333,0,0,0,7638.0733824528,0,2,0,0,22,0,0,0,0,0,2,0,16,3,0,12,0
math\MathRuntimeException.java,org.apache.commons.math.MathRuntimeException,27,4,4,21,21,34,148,90,1,2,1,0,0,0,21,0,0,1,3,5,1,0,0,0,0,0.231292517006803,0.0473684210526316,0.5,0.658333333333333,56,0.65,196,182,16,3,0.9125,0.741496598639456,0.138095238095238,0.130952380952381,0.85,0.85,-0.023255813953489,0.491666666666667,0,0,0,5014.33602983255,0,2,0,0,4,0,0,0,0,0,2,0,36,151,0,21,0
math\MaxIterationsExceededException.java,org.apache.commons.math.MaxIterationsExceededException,3,7,2,17,3,4,16,11,3,0,3,0,0,0,3,14,0,3,0,0,1,0,0,0,0,0.444444444444444,1,1,1,0,1,0,0,1,1,0.75,0.333333333333333,1,0.5,1,0.5,0,1,0,0,1,0,0,0,0,0,0,3,3,1,0,0,0,1,1,20,0,19,0
