relName,className,WMC,NA,NAIMP,NM,NMIMP,NumPara,SLOC1,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,ICP,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
lang\math\NumberUtils.java,org.apache.commons.lang.math.NumberUtils,228,18,18,53,53,101,732,526,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0.0835579514824798,-0.0271493212669683,0.00235294117647059,0.00235294117647059,46,0,1378,1378,53,37,1.01923076923077,0.857868546547792,0.011611030478955,0,0,0,-0.750936329588017,0,0,0,0,0,1,18,0,0,0,8,0,4,8,0,18,0,39,8,4,55,1
lang\math\RandomUtils.java,org.apache.commons.lang.math.RandomUtils,12,1,1,12,12,8,39,26,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.181818181818182,0.227272727272727,0.227272727272727,0,0.227272727272727,51,36,7,1,0.545454545454545,0.575757575757576,0.318181818181818,0.5,0.454545454545455,0,-0.111111111111112,0.227272727272727,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,6,0,0,12,0
lang\math\Range.java,org.apache.commons.lang.math.Range,33,0,0,25,25,12,114,79,0,1,0,74,0,74,25,0,0,0,5,5,0,0,4,0,4,0.0685714285714286,0.0144927536231884,0.434782608695652,0.492753623188406,39,0,300,300,25,6,undefined,0.873333333333333,0.0933333333333333,undefined,0,0,0.199999999999995,0,0,0,0,3872.45989983147,1,0,0,0,36,12,0,4,12,0,0,0,8,0,4,27,0
lang\mutable\MutableBoolean.java,org.apache.commons.lang.mutable.MutableBoolean,15,2,2,11,11,6,44,31,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0.181818181818182,0.577777777777778,0.75,0.75,1,0.75,19,0,3,3,0.65,0.684848484848485,0.654545454545455,0.409090909090909,0.8,0.6,-0.333333333333335,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0
lang\mutable\MutableByte.java,org.apache.commons.lang.mutable.MutableByte,25,2,2,22,22,10,77,53,1,0,1,0,0,0,22,0,0,1,0,0,1,0,0,0,0,0.151515151515152,0.719047619047619,0.894736842105263,0.894736842105263,2,0.894736842105263,60,0,4,3,0.595238095238095,0.731601731601732,0.744588744588745,0.431818181818182,0.904761904761905,0.523809523809524,-1,0.894736842105263,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,22,0
lang\mutable\MutableDouble.java,org.apache.commons.lang.mutable.MutableDouble,23,2,2,23,23,10,79,54,1,0,1,0,0,0,23,0,0,1,0,0,1,0,0,0,0,0.144927536231884,0.731601731601732,0.9,0.9,1,0.9,63,0,4,3,0.590909090909091,0.741765480895916,0.754940711462451,0.434782608695652,0.909090909090909,0.545454545454545,-1,0.9,0,3,0,0,1,0,0,0,0,3,0,1,3,0,0,0,2,0,1,24,0
lang\mutable\MutableFloat.java,org.apache.commons.lang.mutable.MutableFloat,23,2,2,23,23,10,78,53,1,0,1,0,0,0,23,0,0,1,0,0,1,0,0,0,0,0.144927536231884,0.731601731601732,0.9,0.9,1,0.9,63,0,4,3,0.590909090909091,0.741765480895916,0.754940711462451,0.434782608695652,0.909090909090909,0.545454545454545,-1,0.9,0,3,0,0,1,0,0,0,0,3,0,1,3,0,0,0,2,0,1,24,0
lang\mutable\MutableInt.java,org.apache.commons.lang.mutable.MutableInt,24,2,2,21,21,10,74,51,1,0,1,0,0,0,21,0,0,1,0,0,1,0,0,0,0,0.158730158730159,0.705263157894737,0.888888888888889,0.888888888888889,2,0.888888888888889,57,0,4,3,0.6,0.720634920634921,0.733333333333333,0.428571428571429,0.9,0.5,-1,0.888888888888889,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,21,0
lang\mutable\MutableLong.java,org.apache.commons.lang.mutable.MutableLong,24,2,2,21,21,10,74,51,1,0,1,0,0,0,21,0,0,1,0,0,1,0,0,0,0,0.158730158730159,0.705263157894737,0.888888888888889,0.888888888888889,2,0.888888888888889,57,0,4,3,0.6,0.720634920634921,0.733333333333333,0.428571428571429,0.9,0.5,-1,0.888888888888889,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,21,0
lang\mutable\MutableObject.java,org.apache.commons.lang.mutable.MutableObject,10,2,2,7,7,3,30,21,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0.428571428571429,0.6,1,1,0,1,6,0,2,2,0.666666666666667,0.428571428571429,0.714285714285714,0.428571428571429,0.833333333333333,0.666666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0
lang\mutable\MutableShort.java,org.apache.commons.lang.mutable.MutableShort,25,2,2,22,22,10,77,53,1,0,1,0,0,0,22,0,0,1,0,0,1,0,0,0,0,0.151515151515152,0.719047619047619,0.894736842105263,0.894736842105263,2,0.894736842105263,60,0,4,3,0.595238095238095,0.731601731601732,0.744588744588745,0.431818181818182,0.904761904761905,0.523809523809524,-1,0.894736842105263,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,22,0
lang\text\CompositeFormat.java,org.apache.commons.lang.text.CompositeFormat,6,3,3,6,6,8,24,17,1,0,1,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0.194444444444444,0.3,0.6,1,7,1,9,3,2,1,0.8,0.633333333333333,0.533333333333333,0.333333333333333,1,1,0,0.6,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0
lang\text\StrBuilder.java,org.apache.commons.lang.text.StrBuilder,295,6,6,110,110,159,1096,825,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0.0781818181818182,0.402310567448182,0.700058241118229,0.760240729955349,223,0.760240729955349,3566,1137,32,14,0.807339449541284,0.879955518487629,0.413177648040033,0.2,0.880733944954128,0.834862385321101,-0.586444363899965,0.700058241118229,0,0,0,0,7,2,0,0,0,18,0,6,18,0,2,9,55,50,6,115,3
lang\text\StrLookup.java,org.apache.commons.lang.text.StrLookup,5,3,3,5,5,2,43,29,0,1,0,1,0,1,5,0,0,0,1,1,0,0,0,0,0,0.2,-0.666666666666667,0,0,0,0,10,10,5,5,1.08333333333333,0.6,0,0.133333333333333,0,0,0,0,0,0,0,58.4378245984419,1,3,0,0,0,2,0,1,2,1,0,5,3,5,0,6,0
lang\text\StrMatcher.java,org.apache.commons.lang.text.StrMatcher,20,9,9,15,15,8,125,89,0,1,0,5,0,5,15,0,0,0,5,5,0,0,0,0,0,0.1,-0.0879120879120879,0.0659340659340659,0.0659340659340659,0,0.0659340659340659,99,93,12,12,0.976190476190476,0.80952380952381,0.0571428571428571,0.0888888888888889,0.214285714285714,0,-1,0.0659340659340659,0,0,0,1353.18940869558,5,9,0,0,0,12,0,6,12,8,0,31,2,23,0,18,0
lang\text\StrSubstitutor.java,org.apache.commons.lang.text.StrSubstitutor,70,7,7,39,39,70,286,211,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0.130536130536131,0.0199146514935989,0.791005291005291,0.928571428571429,94,0.928571428571429,731,721,32,2,0.958646616541353,0.775733038890934,0.0701754385964912,0.0659340659340659,0.947368421052632,0.578947368421053,-0.89296636085627,0.791005291005291,0,0,0,0,3,5,0,0,0,100,0,50,100,0,5,0,56,0,50,71,0
lang\text\StrTokenizer.java,org.apache.commons.lang.text.StrTokenizer,103,11,11,64,64,67,416,301,0,1,0,2,0,2,64,0,0,0,1,1,0,0,0,0,0,0.084375,0.0532514080901178,0.487264673311185,0.863787375415282,132,0.863787375415282,1906,1796,38,4,0.955266955266955,0.851587301587302,0.0828373015873016,0.0596590909090909,0.936507936507937,0.46031746031746,-0.804597701149426,0.487264673311185,0,0,0,2650.94020278785,2,7,0,0,0,77,0,25,77,0,5,1,40,0,25,83,0
lang\time\DateFormatUtils.java,org.apache.commons.lang.time.DateFormatUtils,13,9,9,13,13,34,60,37,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0.523076923076923,-0.0151515151515152,0.833333333333333,0.833333333333333,20,0,78,78,13,2,1.08333333333333,0.553846153846154,0.141025641025641,0,0,0,-0.5,0,0,0,0,0,2,9,0,0,0,6,0,2,6,0,9,0,40,0,2,32,0
lang\time\DateUtils.java,org.apache.commons.lang.time.DateUtils,90,17,17,26,26,52,381,265,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0.252747252747253,-0.0166666666666667,0.166666666666667,0.166666666666667,48,0.0652173913043478,325,325,26,9,1.02117647058824,0.745934065934066,0.0615384615384615,0.0180995475113122,0.24,0,0.0431893687707638,0.0652173913043478,0,0,0,0,1,1,0,0,0,3,0,1,3,0,1,0,47,0,1,27,1
lang\time\DurationFormatUtils.java,org.apache.commons.lang.time.DurationFormatUtils,71,8,8,11,11,30,338,260,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0.303030303030303,0.0666666666666667,1,1,44,1,48,41,7,2,0.7625,0.660606060606061,0.236363636363636,0.306818181818182,0.9,0,-0.0243902439024383,1,0,0,0,0,3,1,0,0,0,94,0,31,94,0,1,0,17,2,31,19,1
lang\time\FastDateFormat.java,org.apache.commons.lang.time.FastDateFormat,112,18,18,41,41,67,803,562,1,0,1,0,0,0,41,0,0,1,0,0,1,0,0,0,0,0.10801393728223,0.0551282051282051,0.803921568627451,0.884135472370767,70,0.884135472370767,767,714,26,3,0.969444444444444,0.822473867595819,0.101219512195122,0.0542005420054201,0.9,0.9,-0.697860962566846,0.803921568627451,0,0,0,0,17,9,0,0,0,66,0,22,66,9,9,0,58,2,22,52,0
lang\time\StopWatch.java,org.apache.commons.lang.time.StopWatch,23,10,10,12,12,0,92,68,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,,0.490909090909091,1,1,2,1,30,0,4,2,0.672727272727273,,0.575757575757576,0.383333333333333,0.909090909090909,0.909090909090909,,1,0,0,0,0,1,0,0,0,0,4,0,2,4,0,0,0,2,0,2,22,0
