relName,className,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn,bug
math\ConvergenceException.java,org.apache.commons.math.ConvergenceException,15,4,0,16,1.333333333,2,3,0,0,4,0,0,3,0,0,0.235294118,0,0,0.75,15,15,0,0,9,9,0,0,0.6,0.6,0
math\FunctionEvaluationException.java,org.apache.commons.math.FunctionEvaluationException,45,9,1,22,0.5625,2,1,5,1,10,0.4375,0,1,0.5,0.5,0.434782609,0.28,0,0.5,18,45,27,0,11,38,0.6,0,0.244444444,0.844444444,0
math\MathConfigurationException.java,org.apache.commons.math.MathConfigurationException,15,4,0,16,1.333333333,2,0,0,0,4,0,0,0,0,0,0.235294118,0,0,0,17,15,0,2,9,9,0,0.133333333,0.6,0.6,0
math\MathException.java,org.apache.commons.math.MathException,64,18,0,12,0.795454545,1,13,8,0,4,0.097402597,0,10,0.421052632,0,0.307692308,0.054249548,0,0.714285714,53,64,20,9,21,41,0.3125,0.140625,0.328125,0.640625,0
math\complex\Complex.java,org.apache.commons.math.complex.Complex,278,71,2,38,0.75,0,0,37,1,23,0.024725275,0,0,0.513888889,0.333333333,0.58974359,0.014128728,0,0,138,278,143,3,12,155,0.514388489,0.010791367,0.043165468,0.557553957,1
math\complex\ComplexFormat.java,org.apache.commons.math.complex.ComplexFormat,152,35,2,35,0.96,2,0,16,1,4,0.01037037,1,0,0.444444444,0.333333333,0.111111111,0.005291005,0.333333333,0,231,152,4,83,9,13,0.026315789,0.546052632,0.059210526,0.085526316,1
math\complex\ComplexUtils.java,org.apache.commons.math.complex.ComplexUtils,12,3,1,3,,0,0,27,1,27,0,0,0,6.75,0.5,6.75,0,0,0,123,12,0,111,0,0,0,9.25,0,0,0
math\distribution\AbstractContinuousDistribution.java,org.apache.commons.math.distribution.AbstractContinuousDistribution,47,9,4,14,1.25,1,9,0,0,0,0,0,1,0,0,0,0,0,0.1,47,47,1,1,1,2,0.021276596,0.021276596,0.021276596,0.042553191,0
math\distribution\AbstractDistribution.java,org.apache.commons.math.distribution.AbstractDistribution,15,3,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0
math\distribution\AbstractIntegerDistribution.java,org.apache.commons.math.distribution.AbstractIntegerDistribution,74,19,1,10,1.125,1,5,3,0,0,0.017857143,0,2,0.15,0,0,0.008403361,0,0.333333333,60,74,14,0,0,14,0.189189189,0,0,0.189189189,0
math\distribution\BinomialDistributionImpl.java,org.apache.commons.math.distribution.BinomialDistributionImpl,73,17,3,39,0.962962963,2,0,0,0,10,0,0,0,0,0,0.25,0,0,0,73,73,0,0,0,0,0,0,0,0,0
math\distribution\CauchyDistributionImpl.java,org.apache.commons.math.distribution.CauchyDistributionImpl,76,19,0,25,0.833333333,2,0,0,0,0,0,0,0,0,0,0,0,0,0,76,76,0,0,0,0,0,0,0,0,0
math\distribution\ChiSquaredDistributionImpl.java,org.apache.commons.math.distribution.ChiSquaredDistributionImpl,63,16,3,29,0.954545455,2,0,2,0,1,0.045454545,0,0,0.117647059,0,0.033333333,0.023255814,0,0,57,63,6,0,5,11,0.095238095,0,0.079365079,0.174603175,0
math\distribution\ExponentialDistributionImpl.java,org.apache.commons.math.distribution.ExponentialDistributionImpl,62,16,1,23,1,2,0,2,0,1,0,0,0,0.117647059,0,0.041666667,0,0,0,56,62,6,0,0,6,0.096774194,0,0,0.096774194,0
math\distribution\FDistributionImpl.java,org.apache.commons.math.distribution.FDistributionImpl,70,16,2,36,0.962962963,2,0,1,0,5,0,0,0,0.058823529,0,0.135135135,0,0,0,57,70,26,13,35,61,0.371428571,0.185714286,0.5,0.871428571,1
math\distribution\GammaDistributionImpl.java,org.apache.commons.math.distribution.GammaDistributionImpl,73,19,2,38,0.966666667,2,0,2,0,7,0.003703704,0,0,0.1,0,0.179487179,0.001883239,0,0,69,73,4,0,0,4,0.054794521,0,0,0.054794521,0
math\distribution\HypergeometricDistributionImpl.java,org.apache.commons.math.distribution.HypergeometricDistributionImpl,131,28,1,35,0.96875,2,0,0,0,7,0,0,0,0,0,0.194444444,0,0,0,131,131,0,0,0,0,0,0,0,0,0
math\distribution\NormalDistributionImpl.java,org.apache.commons.math.distribution.NormalDistributionImpl,88,22,3,39,0.931818182,2,0,4,1,7,0.031818182,0,0,0.173913043,0.25,0.175,0.016470588,0,0,73,88,15,0,2,17,0.170454545,0,0.022727273,0.193181818,0
math\distribution\PoissonDistributionImpl.java,org.apache.commons.math.distribution.PoissonDistributionImpl,54,14,5,40,0.851851852,2,0,2,0,10,0.005291005,0,0,0.133333333,0,0.243902439,0.002857143,0,0,48,55,10,3,0,10,0.181818182,0.054545455,0,0.181818182,0
math\distribution\TDistributionImpl.java,org.apache.commons.math.distribution.TDistributionImpl,56,13,2,34,1,2,0,0,0,5,0,0,0,0,0,0.142857143,0,0,0,56,56,0,0,0,0,0,0,0,0,0
math\distribution\WeibullDistributionImpl.java,org.apache.commons.math.distribution.WeibullDistributionImpl,63,16,0,24,0.962962963,2,0,0,0,0,0,0,0,0,0,0,0,0,0,63,63,0,0,0,0,0,0,0,0,0
math\fraction\Fraction.java,org.apache.commons.math.fraction.Fraction,264,61,3,32,0.896103896,1,0,4,1,6,0.077056277,0,0,0.064516129,0.25,0.181818182,0.040639269,0,0,238,264,40,14,32,72,0.151515152,0.053030303,0.121212121,0.272727273,1
math\fraction\FractionFormat.java,org.apache.commons.math.fraction.FractionFormat,101,22,5,45,1.076923077,2,1,13,2,13,0.124542125,1,0,0.565217391,0.333333333,0.282608696,0.059964727,0.333333333,0,159,101,5,63,33,38,0.04950495,0.623762376,0.326732673,0.376237624,0
math\fraction\ProperFractionFormat.java,org.apache.commons.math.fraction.ProperFractionFormat,95,17,3,53,1,3,0,2,1,16,0,1,0,0.111111111,0.25,0.296296296,0,0.25,0,87,95,8,0,3,11,0.084210526,0,0.031578947,0.115789474,0
math\linear\BigMatrixImpl.java,org.apache.commons.math.linear.BigMatrixImpl,796,197,6,72,0.9,0,0,21,3,11,0.003508772,0,0,0.106060606,0.428571429,0.150684932,0.001846722,0,0,660,796,171,35,177,348,0.214824121,0.043969849,0.222361809,0.43718593,1
math\linear\InvalidMatrixException.java,org.apache.commons.math.linear.InvalidMatrixException,9,2,0,23,2,2,2,0,0,21,0,1,2,0,0,0.875,0,0.333333333,0.666666667,9,9,0,0,6,6,0,0,0.666666667,0.666666667,0
math\linear\MatrixIndexException.java,org.apache.commons.math.linear.MatrixIndexException,6,1,0,22,0,2,0,1,0,20,2,1,0,0.5,0,0.869565217,2,0.333333333,0,9,6,0,3,4,4,0,0.5,0.666666667,0.666666667,0
math\linear\MatrixUtils.java,org.apache.commons.math.linear.MatrixUtils,111,29,6,46,,0,0,4,2,12,0,0,0,0.133333333,0.285714286,0.255319149,0,0,0,93,111,22,4,40,62,0.198198198,0.036036036,0.36036036,0.558558559,0
math\linear\RealMatrixImpl.java,org.apache.commons.math.linear.RealMatrixImpl,377,87,5,116,0.651515152,1,0,54,1,68,0.212825934,1,0,0.613636364,0.166666667,0.581196581,0.128867079,0.5,0,533,377,102,258,172,274,0.270557029,0.684350133,0.456233422,0.726790451,1
math\random\AbstractRandomGenerator.java,org.apache.commons.math.random.AbstractRandomGenerator,66,20,0,11,1,0,0,0,0,0,0.1,0,0,0,0,0,0.05,0,0,65,66,1,0,0,1,0.015151515,0,0,0.015151515,0
math\random\EmpiricalDistributionImpl.java,org.apache.commons.math.random.EmpiricalDistributionImpl,231,37,9,34,0.821428571,0,0,6,1,1,0.011904762,0,0,0.157894737,0.1,0.028571429,0.006535948,0,0,223,231,16,8,21,37,0.069264069,0.034632035,0.090909091,0.16017316,0
math\random\JDKRandomGenerator.java,org.apache.commons.math.random.JDKRandomGenerator,3,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,1,0.333333333,0,0,0.333333333,0
math\random\RandomAdaptor.java,org.apache.commons.math.random.RandomAdaptor,41,13,0,12,0.636363636,1,0,0,0,0,0.454545455,0,0,0,0,0,0.277777778,0,0,39,41,2,0,0,2,0.048780488,0,0,0.048780488,0
