relName,AvgWMC,CCMax,NTM,WMC,AvgSLOC,AvgSLOCExe,NA,NAIMP,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,SLOC,SLOCExe,stms,stmsExe,AID,CHM,NMA,NMI,NOA,PII,AMC,CBO,CC,DAC,DACquote,ICP,MPC,MPCNew,NIHICP,RFC,RFC1,UCL,ADD,MOD,DEL,bug
org.jfree.chart.text.TextBlockAnchor,3.4,10,3,17,10.4,6,11,11,5,5,13,5,2,3,2,74,30,47,29,1,12,2,8,1,0.202020202,0,1,0,9,1,0,0,0,0,13,13,0,0,0,0,0
org.jfree.chart.text.TextBox,1.88,11,21,47,7,4.28,9,9,25,25,34,25,2,23,18,186,107,130,83,1,34,23,9,1,0.220328283,1.32,10,33,6,4,80,32,362,80,77,54,29,0,0,0,0
org.jfree.chart.text.TextFragment,1.933333333,7,11,29,7,3.866666667,7,7,15,15,24,15,2,13,23,114,58,78,47,1,24,13,9,1,0.215367965,0.733333333,7,11,4,2,21,5,71,21,32,29,24,0,0,0,0
org.jfree.chart.text.TextLine,1.923076923,4,5,25,7.615384615,4.538461538,2,2,13,13,22,13,1,12,19,103,59,72,38,1,22,11,9,1,0.213383838,0.923076923,7,12,1,1,28,10,39,28,35,30,26,0,0,0,0
org.jfree.chart.title.TextTitle,2.944444444,13,22,106,11.80555556,7.638888889,32,13,36,36,89,36,8,28,41,442,275,300,214,3,90,31,53,3,0.337589799,4.444444444,30,160,7,4,215,95,729,166,180,133,70,1,1,0,0
org.jfree.chart.text.TextUtilities,3.4,9,8,68,20.9,15,3,3,1,20,31,20,5,15,80,427,300,243,140,1,33,20,11,1,0.158730159,4.8,10,96,0,0,31,14,39,31,44,41,70,7,1,3,0
org.jfree.chart.plot.ThermometerPlot,2.152777778,26,45,155,9.083333333,5.722222222,85,55,70,72,139,72,7,65,77,720,412,501,318,2,135,65,67,2,0.298005798,1.472222222,28,106,12,7,203,88,781,168,246,183,75,2,2,0,0
org.jfree.chart.axis.Tick,2,7,6,16,7,3.875,5,5,8,8,16,8,0,8,5,63,31,43,27,1,20,5,8,1,0.22979798,0.375,5,3,2,1,9,3,27,9,17,17,6,0,0,0,0
org.jfree.chart.entity.TickLabelEntity,1,1,1,1,3,1,5,1,1,1,24,1,0,1,3,7,1,4,1,2,28,1,23,2,0.111111111,1,1,1,0,0,4,1,8,0,28,28,1,0,0,0,0
org.jfree.chart.axis.TickType,2.25,4,2,9,7.25,4,3,3,4,4,13,4,2,2,2,34,16,24,14,1,13,2,9,1,0.171717172,0,1,0,2,1,0,0,0,0,13,13,0,0,0,0,0
org.jfree.chart.axis.TickUnit,2,5,5,16,6.75,3.625,3,3,8,8,17,8,0,8,6,59,29,38,23,1,19,6,9,1,0.203463203,0,2,0,0,0,0,0,0,0,17,17,0,0,0,0,0
org.jfree.chart.axis.TickUnits,1.555555556,3,5,14,6.333333333,3.555555556,2,2,9,9,18,9,0,9,6,61,32,39,23,1,18,7,9,1,0.206439394,0.111111111,6,1,1,1,3,1,7,3,20,19,8,0,0,0,0
org.jfree.data.time.TimePeriodAnchor,2.2,4,3,11,6.8,3.6,5,5,5,5,13,5,2,3,2,44,18,29,17,1,12,2,8,1,0.202020202,0,1,0,3,1,0,0,0,0,13,13,0,0,0,0,0
org.jfree.data.time.TimePeriodFormatException,1,1,1,1,3,1,8,0,1,1,38,1,0,1,1,5,1,3,1,5,44,1,37,5,0.138888889,0,1,0,0,0,0,0,0,0,38,38,0,0,0,0,0
org.jfree.data.time.TimePeriodValue,2.111111111,7,5,19,6.222222222,3.333333333,3,3,9,9,17,9,0,9,7,61,30,41,25,1,16,6,8,1,0.233766234,0,7,0,0,0,0,0,0,0,17,17,0,0,0,0,0
org.jfree.data.time.TimePeriodValues,2.037037037,13,20,55,8.555555556,5.259259259,18,12,27,27,51,27,2,25,24,245,142,174,104,2,50,23,24,2,0.427248677,1.37037037,11,37,1,1,46,27,114,30,64,63,10,0,0,0,0
org.jfree.data.time.TimePeriodValuesCollection,1.954545455,7,11,43,8.045454545,5,8,3,22,22,53,22,1,21,25,183,110,124,68,5,56,19,31,5,0.293300654,2.681818182,15,59,2,2,63,36,113,59,76,76,24,0,2,0,0
org.jfree.data.time.TimeSeries,2.666666667,10,27,144,10.94444444,6.981481481,17,11,54,54,78,54,5,49,64,604,377,417,274,2,77,50,24,2,0.265483971,1.185185185,19,64,1,1,102,64,267,77,101,96,61,161,46,17,1
org.jfree.chart.demo.TimeSeriesChartDemo1,1.2,2,4,6,17.4,15.2,0,0,1,5,24,5,2,3,3,89,76,79,61,3,28,5,19,3,0.208333333,19.6,16,98,0,0,271,98,495,269,217,49,12,4,5,7,0
org.jfree.data.time.TimeSeriesCollection,1.875,5,20,75,7.475,4.45,9,4,40,40,67,40,1,39,48,308,178,223,123,5,66,33,27,5,0.433473389,1.475,15,59,3,3,104,54,187,91,96,93,58,77,10,5,0
org.jfree.data.time.TimeSeriesDataItem,1.909090909,6,6,21,6.636363636,3.545454545,4,4,11,11,20,11,0,11,9,79,39,55,34,1,20,9,9,1,0.210606061,0.181818182,8,2,1,1,6,2,11,6,22,22,4,9,10,7,0
org.jfree.data.time.TimeSeriesTableModel,2.454545455,6,6,27,9.818181818,5.181818182,4,4,11,11,22,11,0,11,14,115,57,60,43,2,25,11,11,2,0.203703704,0.727272727,11,8,2,2,14,8,35,14,43,28,5,0,0,0,0
org.jfree.chart.urls.TimeSeriesURLGenerator,2.875,7,5,23,10.875,6.875,5,5,8,8,18,8,0,8,10,94,55,65,43,1,19,7,10,1,0.176136364,0.25,5,2,1,1,0,0,0,0,18,18,5,0,0,0,0
org.jfree.data.time.TimeTableXYDataset,1.625,7,22,52,5.78125,3.0625,9,4,32,32,59,32,1,31,43,193,98,131,78,5,58,25,27,5,0.478578611,1.21875,11,39,3,3,51,27,168,40,92,80,13,5,9,0,0
org.jfree.chart.title.Title,1.954545455,8,15,43,6.954545455,3.772727273,19,11,22,22,60,22,6,16,20,170,83,112,73,2,67,19,38,2,0.235501355,0.545454545,11,12,8,5,21,11,77,16,104,83,26,0,0,0,0
org.jfree.chart.event.TitleChangeEvent,1,1,2,2,3.5,1.5,3,1,2,2,20,2,0,2,1,10,3,7,3,3,24,2,18,3,0.166666667,0.5,1,1,1,1,2,1,2,0,20,20,3,0,0,0,0
org.jfree.chart.entity.TitleEntity,1.7,7,8,17,6.3,3.4,6,2,10,10,29,10,2,8,12,67,34,47,31,2,28,6,19,2,0.498447205,2,9,20,1,1,36,20,243,19,39,37,10,67,0,0,0
org.jfree.chart.util.UnitType,2,4,3,10,6.2,3.2,4,4,5,5,13,5,2,3,2,37,16,26,15,1,12,2,8,1,0.202020202,0,1,0,2,1,0,0,0,0,13,13,0,0,0,0,0
org.jfree.data.UnknownKeyException,1,1,1,1,3,1,8,0,1,1,38,1,0,1,1,5,1,3,1,5,44,1,37,5,0.138888889,0,1,0,0,0,0,0,0,0,38,38,0,0,0,0,0
org.jfree.chart.axis.ValueAxis,2.263888889,17,45,163,9.652777778,6.083333333,70,28,72,72,144,72,12,60,90,729,438,492,320,2,152,68,72,2,0.319878803,2.583333333,21,186,7,2,281,158,1438,203,204,190,92,20,2,3,0
org.jfree.data.xml.ValueHandler,1.833333333,4,3,11,8,3.666666667,3,3,6,6,17,6,2,4,13,53,22,30,19,2,20,6,11,2,0.19047619,0.666666667,7,4,2,2,3,2,4,3,19,19,5,0,0,0,0
org.jfree.chart.plot.ValueMarker,1.666666667,5,5,10,5.833333333,3,15,1,6,6,47,6,0,6,12,38,18,26,17,2,49,5,41,2,0.193121693,0.833333333,1,5,0,0,13,5,84,2,56,50,6,0,0,0,0
org.jfree.chart.axis.ValueTick,1.8,5,4,9,7,3.4,7,2,5,5,20,5,0,5,12,39,17,25,16,2,25,4,15,2,0.198611111,0.8,3,4,1,1,9,3,46,2,23,22,7,0,0,0,0
org.jfree.data.xy.Vector,1.571428571,5,6,11,5.714285714,3.142857143,2,2,7,7,16,7,0,7,3,44,22,32,19,1,16,5,9,1,0.199494949,0,2,0,0,0,0,0,0,0,16,16,0,0,0,0,0
org.jfree.data.xy.VectorDataItem,1.333333333,2,4,8,5.333333333,2.666666667,3,0,6,6,22,6,0,6,4,34,16,21,10,2,25,6,16,2,0.19047619,2,3,12,0,0,18,12,31,10,29,29,5,0,0,0,0
org.jfree.chart.renderer.xy.VectorRenderer,5.333333333,9,2,32,30.66666667,21.66666667,72,2,6,6,226,6,0,6,14,189,130,147,86,3,226,2,220,3,0.339285714,6.833333333,16,41,0,0,53,21,162,33,398,335,11,0,8,0,0
org.jfree.data.xy.VectorSeries,1,1,9,9,3.777777778,1.666666667,10,0,9,9,52,9,0,9,14,36,15,25,10,3,54,7,43,3,0.400231481,1.111111111,3,10,0,0,19,9,74,9,77,69,7,0,0,0,0
org.jfree.data.xy.VectorSeriesCollection,1.444444444,3,12,26,5.444444444,2.944444444,6,1,18,18,42,18,0,18,21,102,53,75,40,4,41,12,24,4,0.423931624,1.166666667,13,21,1,1,35,21,78,28,67,59,17,0,3,0,0
org.jfree.chart.util.VerticalAlignment,2.2,4,3,11,7.2,3.8,5,5,5,5,13,5,2,3,2,46,19,29,17,1,12,2,8,1,0.202020202,0,1,0,3,1,0,0,0,0,13,13,0,0,0,0,0
org.jfree.data.general.WaferMapDataset,1.526315789,4,13,29,5.052631579,2.473684211,10,7,19,19,39,19,0,19,23,105,47,77,44,2,42,19,20,2,0.211111111,0.421052632,5,8,1,1,17,8,65,17,53,48,3,0,0,0,0
org.jfree.chart.plot.WaferMapPlot,2.461538462,8,6,32,14.76923077,10.61538462,40,10,13,13,84,13,3,10,16,213,138,140,86,2,84,10,71,2,0.326644827,2.153846154,15,28,8,6,43,24,117,35,184,113,36,2,2,0,0
org.jfree.chart.renderer.WaferMapRenderer,2.866666667,6,6,43,11.86666667,7.933333333,64,7,15,15,178,15,7,8,14,187,119,130,65,2,180,14,163,2,0.209439928,1.066666667,10,16,2,2,35,14,103,28,252,224,32,0,0,0,0
org.jfree.chart.renderer.category.WaterfallBarRenderer,3.333333333,15,7,50,16.6,11.53333333,96,5,15,15,277,15,2,13,23,256,173,171,117,4,279,12,262,4,0.472149653,4.133333333,24,62,4,1,120,48,491,68,488,401,32,0,13,6,0
org.jfree.data.time.Week,2.24,7,14,56,10.56,6.64,7,7,21,25,39,25,3,22,21,273,166,182,125,2,31,14,14,2,0.384377104,0.32,7,8,0,0,16,8,33,16,47,47,22,0,0,0,0
org.jfree.data.xy.DefaultWindDataset,2.333333333,6,4,14,8.333333333,4.666666667,3,3,6,6,16,6,0,6,5,54,28,36,24,1,17,5,10,1,0.169191919,0,2,0,0,0,0,0,0,0,16,16,0,0,0,0,0
org.jfree.chart.renderer.xy.WindItemRenderer,1,1,3,3,20.33333333,16.33333333,71,1,3,3,226,3,0,3,11,65,49,52,28,3,229,2,223,3,0.168154762,5.666666667,11,17,0,0,44,14,65,34,393,334,11,0,6,8,0
org.jfree.chart.needle.WindNeedle,2,4,2,8,8.5,5.25,12,1,4,4,35,4,1,3,5,38,21,24,15,3,36,1,31,3,0.154411765,1.75,1,7,0,0,21,7,116,0,49,39,5,0,0,0,0
org.jfree.data.xy.XIntervalDataItem,1.6,2,2,8,6.6,3.4,3,0,5,5,21,5,0,5,4,35,17,20,11,2,24,5,16,2,0.185185185,1.8,3,9,0,0,14,9,25,7,26,26,3,0,0,0,0
org.jfree.data.xy.XIntervalSeries,1,1,8,8,3.625,1.5,10,0,8,8,52,8,0,8,13,31,12,21,8,3,55,7,44,3,0.226157407,1,4,8,0,0,18,8,73,9,74,68,5,0,0,0,0
org.jfree.data.xy.XIntervalSeriesCollection,1.4,3,14,28,5.35,2.9,6,1,20,20,47,20,0,20,25,111,58,82,44,5,46,13,27,5,0.469421102,1.2,12,24,1,1,42,24,90,33,73,66,17,0,4,0,0
