relName,AvgWMC,CCMax,NTM,WMC,AvgSLOC,AvgSLOCExe,NA,NAIMP,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,SLOC,SLOCExe,stms,stmsExe,AID,CHM,DIT,NMA,NMI,NOA,PII,AMC,CBO,CC,DAC,DACquote,ICP,MPC,MPCNew,NIHICP,RFC,RFC1,UCL,bug
org.jfree.chart.renderer.xy.XYShapeRenderer,2.166666667,12,15,52,9.458333333,5.958333333,76,8,24,24,231,24,3,21,27,238,143,156,106,3,230,3,19,207,3,0.445361635,2,21,48,2,2,89,40,314,50,380,326,25,0
org.jfree.chart.renderer.xy.XYSplineRenderer,3.375,13,3,27,17,11.5,82,2,8,8,254,8,2,6,23,162,92,129,79,4,256,4,5,246,4,0.337349398,4,12,32,1,1,41,16,83,23,410,350,20,0
org.jfree.chart.renderer.xy.XYStepAreaRenderer,3.222222222,27,14,58,13.94444444,8.611111111,78,10,17,18,227,18,1,17,30,264,155,170,117,3,228,3,15,209,3,0.239091981,3.222222222,15,58,1,1,95,39,227,50,374,318,21,0
org.jfree.chart.renderer.xy.XYStepRenderer,2.888888889,13,5,26,15.33333333,10,82,2,9,9,254,9,1,8,22,143,90,82,49,4,255,4,5,245,4,0.310910308,4.555555556,16,41,0,0,77,26,194,27,409,344,15,0
org.jfree.data.gantt.XYTaskDataset,1.433333333,6,21,43,5.366666667,2.733333333,7,3,30,30,52,30,6,24,40,167,82,110,61,4,51,4,24,22,4,0.438539683,0.8,10,24,1,1,30,20,72,24,70,65,14,0
org.jfree.chart.annotations.XYTextAnnotation,1.826086957,12,15,42,7.434782609,4.434782609,16,14,23,23,37,23,2,21,21,188,102,133,83,2,37,2,19,14,2,0.368518519,0.956521739,16,22,8,3,59,21,270,49,65,55,28,0
org.jfree.data.xy.YInterval,2,6,4,10,6.6,3.6,3,3,5,5,15,5,0,5,4,38,18,27,17,1,16,1,4,10,1,0.163636364,0,0,0,0,0,0,0,0,0,15,15,0,0
org.jfree.data.xy.YIntervalDataItem,1.6,2,2,8,6.6,3.4,3,0,5,5,21,5,0,5,4,35,17,20,11,2,24,2,5,16,2,0.185185185,1.8,2,9,0,0,14,9,25,7,26,26,3,0
org.jfree.chart.renderer.xy.YIntervalRenderer,2.555555556,6,4,23,16.22222222,11,70,2,9,9,217,9,1,8,24,151,99,97,53,3,217,3,5,208,3,0.381289308,6.333333333,24,57,0,0,126,47,388,68,359,304,29,0
org.jfree.data.xy.YIntervalSeries,1,1,8,8,3.625,1.5,10,0,8,8,52,8,0,8,13,31,12,21,8,3,55,3,7,44,3,0.226157407,1,4,8,0,0,18,8,73,9,73,68,5,0
org.jfree.data.xy.YIntervalSeriesCollection,1.4,3,14,28,5.15,2.7,5,1,20,20,45,20,0,20,25,107,54,78,44,5,44,5,13,25,5,0.473710317,1,10,20,1,1,34,20,71,29,72,60,13,0
org.jfree.data.xy.YWithXInterval,2,6,4,10,6.6,3.6,3,3,5,5,15,5,0,5,4,38,18,27,17,1,16,1,4,10,1,0.163636364,0,0,0,0,0,0,0,0,0,15,15,0,0
org.jfree.data.time.Year,1.5,3,12,27,6.111111111,3.222222222,6,6,17,18,32,18,0,18,12,118,58,79,47,2,24,2,7,14,2,0.371414141,0.111111111,5,2,0,0,4,2,4,4,37,37,9,0
