relName,AvgWMC,CCMax,NTM,WMC,AvgSLOC,AvgSLOCExe,NA,NAIMP,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,SLOC,SLOCExe,stms,stmsExe,AID,CHM,DIT,NMA,NMI,NOA,PII,AMC,CBO,CC,ICP,MPC,MPCNew,NIHICP,RFC,RFC1,ADD,MOD,DEL,bug
math.optimization.univariate.AbstractUnivariateRealOptimizer,1.25,3,10,15,4.833333333,2.166666667,7,7,12,12,23,12,2,10,14,68,26,45,25,1,27,1,12,11,1,0.153846154,0.833333333,8,10,11,9,22,11,38,31,32,26,19,0
math.analysis.solvers.AbstractUnivariateRealSolver,1,1,3,3,4,1,10,0,3,3,37,3,3,0,6,16,3,7,3,2,51,2,3,34,2,0.166666667,1,0,3,9,3,8,0,62,50,16,0,0,0
math.stat.descriptive.AbstractUnivariateStatistic,2.25,9,8,27,6.75,3.25,1,1,12,12,23,12,5,7,24,85,39,54,38,1,45,1,12,11,1,0.153846154,1.25,8,15,32,10,22,32,33,28,23,14,7,0
math.random.AbstractWell,1.5,4,6,12,6.125,3.75,9,8,8,8,28,8,5,3,23,63,30,51,29,2,33,2,4,20,2,0.233333333,0.25,3,2,0,0,0,0,46,34,63,0,0,0
math.analysis.function.Acos,1,1,1,1,3,1,0,0,1,1,12,1,0,1,1,5,1,3,1,1,14,1,1,11,1,0.083333333,1,1,1,2,1,48,2,17,13,5,0,0,0
math.analysis.function.Acosh,1,1,1,1,3,1,0,0,1,1,12,1,0,1,1,5,1,3,1,1,14,1,1,11,1,0.083333333,1,1,1,2,1,2,2,16,13,5,0,0,0
math.ode.nonstiff.AdamsBashforthIntegrator,5.333333333,14,2,16,34,25.33333333,29,1,3,3,62,3,0,3,15,106,76,81,52,5,67,5,2,59,5,0.190740741,27.33333333,12,82,115,36,310,48,176,106,18,25,39,0
math.ode.nonstiff.AdamsIntegrator,1,1,6,6,5.333333333,1.5,28,1,6,6,60,6,1,5,27,40,9,15,7,4,65,4,4,54,4,0.225238095,1.166666667,8,7,31,7,84,15,164,96,1,4,0,0
math.ode.nonstiff.AdamsMoultonIntegrator,5,13,2,15,34.33333333,25.66666667,29,1,3,3,62,3,0,3,15,145,77,112,70,5,67,5,2,59,5,0.190740741,25,14,75,117,35,313,43,180,106,18,31,33,0
math.ode.nonstiff.AdamsNordsieckTransformer,2.428571429,4,2,17,13.14285714,8.714285714,3,3,6,7,18,7,2,5,11,98,61,90,42,1,20,1,7,11,1,0.145833333,2.285714286,11,16,19,10,212,19,54,27,20,7,10,0
math.ode.nonstiff.AdaptiveStepsizeIntegrator,2.538461538,12,9,33,11.23076923,6.692307692,19,8,13,13,43,13,3,10,41,162,87,106,73,2,53,2,11,30,2,0.391203704,2.384615385,9,31,64,25,252,50,96,70,28,27,16,0
math.analysis.function.Add,1,1,1,1,3,1,0,0,1,1,12,1,0,1,2,5,1,3,1,1,14,1,1,11,1,0.083333333,0,0,0,0,0,0,0,12,12,5,0,0,0
math.stat.descriptive.AggregateSummaryStatistics,1.588235294,8,14,27,7.176470588,3.941176471,3,3,16,17,28,17,0,17,4,158,67,102,60,1,30,1,17,11,1,0.157407407,1.941176471,4,33,49,33,154,49,72,44,0,0,0,0
math.analysis.solvers.AllowedSolution,1,1,2,2,0,0,7,5,2,2,19,2,0,2,1,7,0,1,0,2,22,2,2,17,2,0.148148148,0,1,0,0,0,0,0,19,19,7,0,0,0
math.exception.util.ArgUtils,3,5,1,6,8,4.5,0,0,1,2,13,2,1,1,1,18,9,13,7,1,15,1,2,11,1,0.111111111,0,0,0,0,0,0,0,13,13,18,0,0,0
math.linear.Array2DRowFieldMatrix,2.323529412,8,15,79,9.205882353,5.617647059,3,2,34,34,92,34,2,32,61,339,191,284,167,2,75,2,14,58,2,0.492877493,2.852941176,12,97,126,54,270,22,121,114,10,56,80,0
math.linear.Array2DRowRealMatrix,2.483870968,8,12,77,9.64516129,5.870967742,2,2,31,31,79,31,2,29,52,323,182,272,158,3,64,3,11,48,3,0.510539216,1.709677419,11,53,79,23,144,72,126,112,2,46,83,0
math.linear.ArrayFieldVector,1.971830986,7,26,140,7,4.056338028,3,3,71,71,81,71,4,67,99,505,288,399,269,1,82,1,70,10,1,0.194622279,1.183098592,16,84,45,23,50,45,98,87,71,81,33,0
math.linear.ArrayRealVector,1.882352941,7,37,160,6.823529412,3.929411765,3,3,85,85,113,85,2,83,102,626,334,477,292,2,81,2,49,28,2,0.710833333,0.835294118,18,71,82,40,137,64,160,136,67,96,221,0
math.analysis.function.Asin,1,1,1,1,3,1,0,0,1,1,12,1,0,1,1,5,1,3,1,1,14,1,1,11,1,0.083333333,1,1,1,2,1,45,2,16,13,5,0,0,0
math.analysis.function.Asinh,1,1,1,1,3,1,0,0,1,1,12,1,0,1,1,5,1,3,1,1,14,1,1,11,1,0.083333333,1,1,1,2,1,26,2,16,13,5,0,0,0
math.analysis.function.Atan,1,1,1,1,3,1,0,0,1,1,12,1,0,1,1,5,1,3,1,1,14,1,1,11,1,0.083333333,1,1,1,2,1,2,2,15,13,5,0,0,0
math.analysis.function.Atan2,1,1,1,1,3,1,0,0,1,1,12,1,0,1,2,5,1,3,1,1,14,1,1,11,1,0.083333333,1,1,1,3,1,84,3,16,13,5,0,0,0
math.analysis.function.Atanh,1,1,1,1,3,1,0,0,1,1,12,1,0,1,1,5,1,3,1,1,14,1,1,11,1,0.083333333,1,1,1,2,1,26,2,15,13,5,0,0,0
math.optimization.direct.BOBYQAOptimizer,29.92857143,146,4,419,150.5,112.5,29,24,12,14,35,14,11,3,82,2161,1575,1938,1516,2,37,2,13,21,2,0.221500722,64.35714286,15,901,2216,897,1907,2161,88,66,2161,0,0,1
math.geometry.partitioning.BSPTree,2.714285714,8,10,57,13.04761905,9.428571429,5,5,21,21,32,21,5,16,21,285,198,199,155,1,34,1,21,11,1,0.159090909,2.857142857,10,60,12,11,22,12,35,35,285,0,0,0
math.optimization.direct.BaseAbstractScalarOptimizer,1.363636364,4,9,15,4.636363636,2.272727273,5,5,11,11,22,11,4,7,8,59,25,41,24,1,30,1,11,11,1,0.152777778,1.090909091,9,12,13,11,25,13,38,31,59,0,0,0
math.analysis.solvers.BaseAbstractUnivariateRealSolver,1.043478261,2,22,24,4.304347826,1.695652174,10,10,23,23,34,23,12,11,37,113,39,68,34,1,52,1,23,11,1,0.159722222,0.608695652,8,14,30,13,51,30,59,47,113,0,0,0
math.optimization.direct.BaseAbstractVectorialOptimizer,1.5,6,10,18,5.083333333,2.583333333,6,6,12,12,23,12,6,6,9,70,31,49,30,1,28,1,12,11,1,0.153846154,1.166666667,9,14,17,13,29,17,42,33,70,0,0,0
math.optimization.BaseMultiStartMultivariateRealOptimizer,1.875,5,5,15,8.875,5.375,6,6,8,8,19,8,2,6,10,80,43,54,34,1,23,1,8,11,1,0.148148148,1,9,8,6,3,6,6,29,22,80,0,0,0
math.optimization.BaseMultiStartMultivariateVectorialOptimizer,2,6,5,16,10,6.125,6,6,8,8,19,8,2,6,13,89,49,62,39,1,22,1,8,11,1,0.148148148,1,9,8,6,3,6,6,29,22,89,0,0,0
math.analysis.solvers.BaseSecantSolver,5.142857143,30,6,36,18.57142857,13,13,3,7,7,43,7,4,3,25,143,91,84,61,3,49,3,6,36,3,0.223294723,5.714285714,6,40,48,23,77,17,72,60,143,0,0,3
math.special.Beta,1.428571429,3,5,10,10.57142857,6.142857143,1,1,1,7,18,7,1,6,22,77,43,37,21,1,20,1,7,11,1,0.145833333,1.142857143,5,8,18,8,126,18,32,22,8,19,4,0
math.distribution.BetaDistributionImpl,1.526315789,6,15,29,5,2.684210526,15,6,19,19,39,19,7,12,13,117,51,74,42,3,31,3,7,20,3,0.399305556,0.631578947,8,12,29,10,125,26,87,59,36,11,5,0
math.linear.BiDiagonalTransformer,6.4,15,4,64,21.9,15.3,6,6,10,10,21,10,2,8,1,227,153,226,134,1,23,1,10,11,1,0.151515152,2.8,4,28,28,12,24,28,35,24,0,5,0,0
math.analysis.interpolation.BicubicSplineInterpolatingFunction,2.444444444,3,0,22,14,10,7,7,9,9,20,9,2,7,6,135,90,114,51,1,22,1,9,11,1,0.15,0.222222222,1,2,8,2,4,8,26,21,301,0,0,0
math.analysis.interpolation.BicubicSplineInterpolatingFunction,3.090909091,12,5,34,12.72727273,8,5,5,11,11,22,11,4,7,24,165,88,115,69,1,24,1,11,11,1,0.152777778,2.090909091,5,23,55,22,82,55,45,33,301,0,0,0
math.analysis.interpolation.BicubicSplineInterpolator,6,14,0,18,22.66666667,15.66666667,0,0,3,3,14,3,2,1,6,71,47,68,37,1,17,1,3,11,1,0.125,4,7,12,26,10,178,26,40,20,71,0,0,0
math.fraction.BigFraction,1.759259259,8,37,95,6.685185185,3.888888889,19,18,53,54,64,54,1,53,46,390,210,266,161,2,60,2,47,10,2,0.354847495,0.685185185,12,37,87,32,466,87,85,77,19,14,2,1
math.fraction.BigFractionField,1,1,5,5,2.8,0.8,1,1,4,5,16,5,2,3,0,20,4,13,4,1,18,1,5,11,1,0.138888889,0.8,2,4,0,0,0,0,16,16,0,0,0,0
math.fraction.BigFractionFormat,1.785714286,5,10,25,7.642857143,4.785714286,4,1,8,14,38,14,1,13,18,113,67,74,47,3,43,3,14,24,3,0.233333333,1.428571429,10,20,40,18,125,20,53,47,0,2,0,0
math.util.BigReal,1.064516129,3,30,33,3.193548387,1.129032258,6,6,31,31,40,31,0,31,39,109,35,73,35,1,40,1,29,9,1,0.221717172,0.032258065,5,1,1,1,2,1,41,41,1,4,2,0
math.util.BigRealField,1,1,5,5,2.8,0.8,1,1,4,5,16,5,2,3,0,20,4,13,4,1,18,1,5,11,1,0.138888889,0.8,2,4,0,0,0,0,16,16,0,0,0,0
math.genetics.BinaryChromosome,2.4,5,2,12,7.4,3.8,2,0,4,5,25,5,2,3,5,41,19,29,18,3,27,3,3,20,3,0.384469697,2,6,10,11,8,17,4,32,29,6,6,0,0
math.genetics.BinaryMutation,3,3,0,3,11,8,0,0,1,1,12,1,0,1,1,13,8,10,4,1,14,1,1,11,1,0.083333333,6,7,6,6,5,9,6,16,16,0,0,0,0
math.distribution.BinomialDistributionImpl,1.583333333,3,8,19,5.75,3,10,3,12,12,37,12,4,8,7,83,36,48,29,3,33,3,4,25,3,0.280808081,0.5,9,6,15,5,39,13,74,50,23,10,14,0
math.analysis.solvers.BisectionSolver,1.75,4,3,7,8.25,4.5,11,1,4,4,40,4,1,3,3,37,18,26,14,3,43,3,3,36,3,0.196509009,2.75,3,11,23,11,24,8,68,56,6,14,18,1
math.random.BitsStreamGenerator,1.461538462,4,10,19,5.615384615,3.307692308,1,1,13,13,24,13,1,12,6,76,43,59,29,1,34,1,13,11,1,0.154761905,0.461538462,4,6,10,5,131,10,41,29,8,7,11,0
math.linear.BlockFieldMatrix,3.634615385,8,9,189,19.44230769,14.53846154,8,7,50,52,98,52,3,49,107,1059,756,956,461,2,69,2,20,46,2,0.598392348,4.096153846,15,213,345,135,523,179,127,119,0,140,72,0
math.linear.BlockRealMatrix,3.666666667,8,9,198,19.05555556,14.12962963,7,7,52,54,95,54,3,51,105,1079,763,981,477,3,72,3,27,41,3,0.632683629,2.333333333,15,126,310,96,388,292,141,126,4,219,79,0
math.geometry.partitioning.BoundaryAttribute,1,1,3,3,3.666666667,1.333333333,2,2,3,3,14,3,0,3,2,15,4,10,4,1,16,1,3,11,1,0.125,0,1,0,0,0,0,0,14,14,15,0,0,0
math.geometry.partitioning.BoundarySizeVisitor,1.4,3,4,7,4.4,1.6,1,1,5,5,16,5,0,5,3,25,8,15,7,1,18,1,5,11,1,0.138888889,1.4,5,7,5,5,10,5,19,19,25,0,0,0
math.optimization.univariate.BracketFinder,2.5,16,9,30,11,8,10,10,12,12,23,12,1,11,9,144,96,110,73,1,25,1,12,11,1,0.153846154,0.916666667,8,11,13,9,22,13,40,31,144,0,0,0
math.analysis.solvers.BracketingNthOrderBrentSolver,4.555555556,27,4,41,21.11111111,14.77777778,16,6,9,9,45,9,2,7,25,201,133,146,106,3,48,3,8,36,3,0.231231231,4.555555556,10,41,91,33,133,53,79,65,201,0,0,1
math.dfp.BracketingNthOrderBrentSolverDFP,4.2,29,7,42,19,13.8,6,6,10,10,21,10,1,9,20,198,138,151,104,1,23,1,10,11,1,0.151515152,7.3,10,73,93,58,1406,93,93,43,198,0,0,0
math.optimization.univariate.BrentOptimizer,13.5,24,0,27,74.5,59,11,4,2,2,24,2,1,1,2,156,118,109,75,2,27,2,1,22,2,0.125603865,11,9,22,44,20,54,33,49,38,54,43,4,1
math.analysis.solvers.BrentSolver,3.5,11,4,21,19.83333333,14.5,11,1,6,6,42,6,2,4,10,123,87,88,57,3,45,3,5,36,3,0.217342342,4.833333333,4,29,61,29,62,34,72,59,7,91,50,0
math.optimization.direct.CMAESOptimizer,3.7,30,8,148,15.5,10.85,57,52,18,40,62,40,32,8,68,784,434,645,386,2,65,2,40,22,2,0.216802168,5,24,200,122,50,589,113,133,88,784,0,0,0
math.geometry.euclidean.threed.CardanEulerSingularityException,2,2,0,2,3,1,11,1,1,1,39,1,0,1,1,7,1,4,1,4,44,4,1,38,4,0.133333333,3,1,3,3,1,3,0,39,39,7,0,0,0
math.distribution.CauchyDistributionImpl,1.444444444,4,13,26,5.055555556,2.5,14,5,18,18,39,18,6,12,11,111,45,69,40,3,32,3,7,21,3,0.363636364,0.388888889,6,7,11,4,80,11,81,56,42,23,11,0
math.analysis.function.Cbrt,1,1,1,1,3,1,0,0,1,1,12,1,0,1,1,5,1,3,1,1,14,1,1,11,1,0.083333333,1,1,1,2,1,48,2,13,13,5,0,0,0
math.analysis.function.Ceil,1,1,1,1,3,1,0,0,1,1,12,1,0,1,1,5,1,3,1,1,14,1,1,11,1,0.083333333,1,1,1,2,1,14,2,14,13,5,0,0,0
math.geometry.partitioning.Characterization,1.5,4,5,9,5.166666667,2.666666667,2,2,6,6,17,6,0,6,2,35,16,22,13,1,19,1,6,11,1,0.142857143,0.666666667,1,4,0,0,0,0,17,17,35,0,0,0
math.stat.inference.ChiSquareTestImpl,2.941176471,10,6,50,12.47058824,8,1,1,17,17,28,17,5,12,25,215,136,162,107,1,30,1,17,11,1,0.157407407,2.235294118,11,38,69,23,56,69,46,36,4,49,17,0
math.distribution.ChiSquaredDistributionImpl,1.25,3,13,20,4.3125,1.8125,13,4,16,16,37,16,6,10,9,89,29,50,27,3,30,3,5,21,3,0.353219697,0.375,5,6,6,2,38,3,73,53,24,20,2,0
math.linear.CholeskyDecompositionImpl,2.833333333,9,2,17,11.33333333,7,5,5,6,6,17,6,0,6,4,192,42,181,102,1,19,1,6,11,1,0.142857143,2.666666667,9,16,25,10,42,25,53,25,14,19,14,0
math.genetics.Chromosome,1.8,3,2,9,5.2,2.4,1,1,5,5,16,5,2,3,4,29,12,20,11,1,21,1,5,11,1,0.138888889,0.2,2,1,0,0,0,0,16,16,1,1,0,0
math.genetics.ChromosomePair,1,1,4,4,3.5,1.5,2,2,4,4,14,4,0,4,2,19,6,13,6,1,15,1,3,10,1,0.15530303,0,3,0,0,0,0,0,14,14,0,0,0,0
math.ode.nonstiff.ClassicalRungeKuttaIntegrator,1,1,1,1,4,2,19,3,1,1,35,1,0,1,1,17,2,6,1,3,39,3,1,34,3,0.125,2,1,2,8,2,8,1,92,63,0,0,0,0
math.ode.nonstiff.ClassicalRungeKuttaStepInterpolator,1.25,2,3,5,7.75,5,15,1,4,4,42,4,2,2,3,37,20,26,6,3,44,3,2,38,3,0.183333333,2.25,2,9,2,1,15,0,48,45,0,1,0,0
math.stat.clustering.Cluster,1,1,4,4,3.25,1.25,3,3,4,4,15,4,0,4,2,18,5,13,5,1,17,1,4,11,1,0.133333333,0,0,0,0,0,0,0,15,15,0,0,0,0
math.complex.Complex,2.119047619,6,14,89,8,4.761904762,10,10,40,42,50,42,2,40,20,351,200,224,146,1,49,1,39,8,1,0.253409091,1.404761905,9,59,115,56,1383,115,82,65,66,110,9,4
math.complex.ComplexField,1,1,5,5,2.8,0.8,1,1,4,5,16,5,2,3,0,20,4,13,4,1,18,1,5,11,1,0.138888889,0.8,2,4,0,0,0,0,16,16,0,0,0,0
math.complex.ComplexFormat,1.85,7,14,37,7.95,4.95,4,4,16,20,31,20,1,19,26,165,99,115,76,1,33,1,20,11,1,0.158730159,1.3,13,26,67,25,134,67,52,47,36,36,27,0
math.complex.ComplexUtils,1.5,2,1,3,5,2.5,0,0,1,2,13,2,1,1,2,12,5,7,4,1,15,1,2,11,1,0.111111111,2.5,4,5,10,4,137,10,22,17,0,2,0,0
math.util.CompositeFormat,2.111111111,4,4,19,10.44444444,6.333333333,0,0,1,9,20,9,2,7,18,96,57,66,39,1,22,1,9,11,1,0.15,0,7,0,0,0,0,0,20,20,1,18,0,0
math.optimization.general.ConjugateGradientFormula,1,1,2,2,0,0,4,2,2,2,19,2,0,2,1,4,0,1,0,2,22,2,2,17,2,0.148148148,0,1,0,0,0,0,0,19,19,0,0,0,0
math.analysis.function.Constant,1,1,2,2,3,1,1,1,2,2,13,2,0,2,2,9,2,6,2,1,15,1,2,11,1,0.111111111,0,0,0,0,0,0,0,13,13,9,0,0,0
math.util.ContinuedFraction,2.428571429,11,6,17,11,8,1,1,7,7,18,7,3,4,12,80,56,63,36,1,20,1,7,11,1,0.145833333,1,6,7,9,3,20,9,24,21,25,14,6,0
math.ode.ContinuousOutputModel,3.2,10,6,32,14.9,10.9,6,6,10,10,21,10,1,9,6,158,109,115,72,1,23,1,10,11,1,0.151515152,3.7,6,37,27,11,49,27,27,26,0,11,3,0
math.ConvergenceException,1,1,4,4,3,1,11,1,4,4,42,4,0,4,6,15,4,10,4,4,52,4,4,38,4,0.213333333,0.75,2,3,9,3,11,0,42,42,10,0,0,0
math.exception.ConvergenceException,1,1,2,2,3.5,1,11,1,2,2,43,2,0,2,2,10,2,6,2,6,50,6,2,41,6,0.19047619,1,3,2,4,2,5,3,49,46,10,0,0,0
math.random.CorrelatedRandomVectorGenerator,1.833333333,4,3,11,8.166666667,4.5,4,4,6,6,17,6,0,6,7,56,27,46,26,1,19,1,6,11,1,0.142857143,2,6,12,9,3,160,9,35,19,4,12,66,0
math.analysis.function.Cos,1,1,1,1,3,1,0,0,1,1,12,1,0,1,1,5,1,3,1,1,14,1,1,11,1,0.083333333,1,1,1,2,1,56,2,18,13,5,0,0,0
math.analysis.function.Cosh,1,1,1,1,3,1,0,0,1,1,12,1,0,1,1,5,1,3,1,1,14,1,1,11,1,0.083333333,1,1,1,2,1,35,2,15,13,5,0,0,0
math.stat.correlation.Covariance,1.5,5,11,21,5.928571429,3.428571429,2,2,14,14,25,14,5,9,18,87,48,66,33,1,27,1,14,11,1,0.155555556,1.642857143,9,23,25,11,56,25,68,32,6,2,6,0
math.optimization.fitting.CurveFitter,1.125,2,7,9,4.625,2.25,2,2,8,8,19,8,0,8,12,68,18,49,21,1,24,1,8,11,1,0.148148148,0.75,7,6,9,5,12,9,24,24,6,8,2,0
math.linear.DefaultFieldMatrixChangingVisitor,1,1,4,4,3,0.75,1,1,4,4,15,4,0,4,10,16,3,9,3,1,17,1,4,11,1,0.133333333,0,0,0,0,0,0,0,15,15,0,1,1,0
math.linear.DefaultFieldMatrixPreservingVisitor,1,1,4,4,2.5,0.5,1,1,4,4,15,4,0,4,10,14,2,8,2,1,19,1,4,11,1,0.133333333,0,0,0,0,0,0,0,15,15,0,1,2,0
math.filter.DefaultMeasurementModel,1,1,4,4,4,1.5,2,2,4,4,15,4,0,4,4,20,6,12,5,1,17,1,4,11,1,0.133333333,0.5,2,2,4,2,4,4,33,16,20,0,0,0
math.filter.DefaultProcessModel,1,1,8,8,5.125,2.25,5,5,8,8,19,8,0,8,13,48,18,26,12,1,21,1,8,11,1,0.148148148,1,4,8,16,8,16,16,38,21,48,0,0,0
math.linear.DefaultRealMatrixChangingVisitor,1,1,3,3,3,0.666666667,0,0,3,3,14,3,0,3,9,11,2,6,2,1,16,1,3,11,1,0.125,0,0,0,0,0,0,0,14,14,0,1,1,0
math.linear.DefaultRealMatrixPreservingVisitor,1,1,3,3,2.333333333,0.333333333,0,0,3,3,14,3,0,3,9,9,1,5,1,1,16,1,3,11,1,0.125,0,0,0,0,0,0,0,14,14,0,1,2,0
math.util.DefaultTransformer,2.666666667,4,1,8,8.666666667,5,1,1,3,3,12,3,0,3,3,31,15,18,13,1,12,1,1,9,1,0.143939394,1,8,3,7,2,6,7,17,14,0,3,0,0
math.stat.descriptive.DescriptiveStatistics,1.326530612,5,43,65,4.918367347,2.591836735,15,15,48,49,59,49,0,49,27,259,127,169,99,1,61,1,48,10,1,0.193568336,0.795918367,25,39,48,26,139,48,93,76,8,9,4,0
math.dfp.Dfp,5.161764706,33,32,351,21.76470588,15.61764706,26,26,66,68,76,68,17,51,54,1511,1062,1198,943,1,76,1,65,8,1,0.255050505,2.323529412,8,158,109,68,226,109,84,84,1511,0,0,1
math.dfp.DfpDec,2.736842105,21,16,52,11.21052632,7.631578947,26,0,19,19,84,19,9,10,25,225,145,157,116,2,77,2,9,65,2,0.544444444,7.421052632,4,141,152,85,1317,19,98,98,225,0,0,0
math.dfp.DfpField,1.435897436,8,33,56,6.461538462,4.051282051,34,34,35,39,50,39,4,35,24,298,158,242,129,1,52,1,39,11,1,0.1625,2.435897436,5,95,198,93,5956,198,86,66,298,0,0,0
math.dfp.DfpMath,4.761904762,29,5,100,24.9047619,18.61904762,1,1,1,21,32,21,11,10,26,526,391,422,293,1,34,1,21,11,1,0.159090909,18.23809524,5,383,561,320,8842,561,91,75,526,0,0,0
math.exception.DimensionMismatchException,1,1,3,3,4.333333333,1.333333333,14,2,3,3,44,3,0,3,5,17,4,10,4,7,54,7,3,41,7,0.21875,0.333333333,2,1,4,1,3,0,50,47,17,0,0,0
math.analysis.function.Divide,1,1,1,1,3,1,0,0,1,1,12,1,0,1,2,5,1,3,1,1,14,1,1,11,1,0.083333333,0,0,0,0,0,0,0,12,12,5,0,0,0
