relName,AvgWMC,CCMax,NTM,WMC,AvgSLOC,AvgSLOCExe,NA,NAIMP,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,SLOC,SLOCExe,stms,stmsExe,AID,CHM,DIT,NMA,NMI,NOA,PII,AMC,CBO,CC,ICP,MPC,MPCNew,NIHICP,RFC,RFC1,ADD,MOD,DEL,bug
math.geometry.partitioning.utilities.AVLTree,2.888888889,5,2,26,8.111111111,4.666666667,1,1,9,9,20,9,0,9,4,378,42,274,219,1,22,1,9,11,1,0.15,2.111111111,2,19,10,7,84,10,33,27,378,0,0,0
math.analysis.function.Abs,1,1,1,1,3,1,0,0,1,1,12,1,0,1,1,5,1,3,1,1,14,1,1,11,1,0.083333333,1,1,1,2,1,2,2,13,13,5,0,0,0
math.distribution.AbstractContinuousDistribution,1.5,5,10,18,5.583333333,3.166666667,9,4,12,12,32,12,5,7,8,75,38,51,25,2,44,2,12,20,2,0.205128205,0.916666667,9,11,27,9,28,27,60,41,29,11,1,0
math.optimization.AbstractConvergenceChecker,1,1,5,5,3.2,1.2,4,4,5,5,16,5,0,5,5,25,6,16,6,1,22,1,5,11,1,0.138888889,0,1,0,0,0,0,0,16,16,25,0,0,0
math.analysis.solvers.AbstractDifferentiableUnivariateRealSolver,1,1,4,4,4.25,1.5,11,1,4,4,38,4,4,0,10,23,6,12,6,2,42,2,4,34,2,0.177777778,1.5,3,6,14,4,21,0,63,51,23,0,0,0
math.distribution.AbstractDistribution,1.333333333,2,6,12,3.555555556,1.555555556,5,5,9,9,20,9,3,6,2,40,14,28,13,1,38,1,9,11,1,0.15,0.444444444,4,4,5,1,4,5,25,21,25,2,1,0
math.linear.AbstractFieldMatrix,2.614285714,9,22,183,10.38571429,6.457142857,1,1,66,70,78,70,14,56,120,735,452,611,366,1,80,1,67,8,1,0.255124777,2.128571429,25,149,119,36,90,119,96,89,44,118,66,0
math.fraction.AbstractFormat,1.384615385,4,10,18,5.230769231,2.461538462,3,3,9,13,24,13,7,6,16,75,32,49,27,2,31,2,13,11,2,0.206349206,0.153846154,8,2,6,2,4,6,28,25,0,2,2,0
math.distribution.AbstractIntegerDistribution,1.764705882,7,11,30,5.941176471,3.352941176,7,2,17,17,34,17,4,13,13,109,57,70,42,2,39,2,14,17,2,0.368518519,1,9,17,35,13,137,35,48,40,36,21,6,0
math.ode.AbstractIntegrator,2,16,16,42,8.380952381,4.857142857,11,11,21,21,32,21,6,15,28,189,102,131,80,1,50,1,21,11,1,0.159090909,2.095238095,20,44,80,36,294,80,80,55,96,14,42,1
math.optimization.general.AbstractLeastSquaresOptimizer,2,4,6,20,8.8,5.5,16,10,10,10,33,10,4,6,6,103,55,89,49,2,38,2,10,23,2,0.202020202,2.3,14,23,42,18,74,28,80,48,6,43,75,2
math.optimization.linear.AbstractLinearOptimizer,1.142857143,2,6,8,4.285714286,1.714285714,7,7,7,7,18,7,3,4,5,40,12,27,12,1,21,1,7,11,1,0.145833333,0.285714286,5,2,4,2,4,4,26,20,0,1,0,0
math.genetics.AbstractListChromosome,1,1,7,7,2.571428571,0.857142857,2,1,7,7,22,7,2,5,4,22,6,15,6,2,26,2,6,15,2,0.211309524,0.142857143,3,1,1,1,5,0,22,22,0,1,4,0
math.stat.regression.AbstractMultipleLinearRegression,2.210526316,9,13,42,7.631578947,4.736842105,3,3,19,19,30,19,9,10,10,151,90,101,59,1,34,1,19,11,1,0.158333333,1.631578947,11,31,38,15,121,38,70,37,71,12,0,0
math.analysis.solvers.AbstractPolynomialSolver,1,1,5,5,4,1.2,11,1,5,5,39,5,5,0,11,26,6,13,6,2,43,2,5,34,2,0.185185185,1,2,5,16,5,18,1,65,53,26,0,0,0
math.random.AbstractRandomGenerator,1.769230769,5,9,23,5.615384615,3.076923077,1,1,13,13,24,13,0,13,5,76,40,58,32,1,26,1,13,11,1,0.154761905,0.230769231,5,3,6,3,6,6,34,27,0,4,1,0
math.linear.AbstractRealMatrix,2.627118644,10,21,155,10.98305085,7.016949153,0,0,59,59,68,59,2,57,100,659,414,568,332,2,69,2,53,9,2,0.406995885,2.06779661,20,122,190,55,306,190,101,85,39,83,113,0
math.linear.AbstractRealVector,1.641509434,4,26,87,6.641509434,3.735849057,0,0,53,53,64,53,3,50,49,406,198,300,150,1,69,1,53,11,1,0.163580247,2.037735849,18,108,122,68,210,122,100,79,32,57,267,0
math.geometry.partitioning.AbstractRegion,3.222222222,20,13,87,11.55555556,7.851851852,3,3,27,27,38,27,13,14,28,338,212,224,146,1,43,1,27,11,1,0.160714286,6.925925926,17,187,172,143,473,172,79,71,338,0,0,0
math.optimization.general.AbstractScalarDifferentiableOptimizer,1,1,4,4,3.75,1,6,1,4,4,26,4,3,1,6,21,4,10,4,2,30,2,4,22,2,0.177777778,1,7,4,7,2,21,0,42,35,1,10,60,0
math.optimization.direct.AbstractSimplex,2.666666667,10,6,40,9.266666667,5.333333333,3,3,14,15,26,15,8,7,18,146,80,117,74,1,30,1,15,11,1,0.15625,1.266666667,12,19,39,15,33,39,44,37,146,0,0,0
math.ode.sampling.AbstractStepInterpolator,1.538461538,5,20,40,7.269230769,4.884615385,12,12,26,26,37,26,9,17,16,208,127,166,119,1,51,1,26,11,1,0.160493827,0.038461538,3,1,1,1,2,1,41,38,33,36,2,0
math.stat.descriptive.AbstractStorelessUnivariateStatistic,1.7,3,5,17,4.5,2.2,1,0,10,10,29,10,0,10,10,54,22,34,20,2,44,2,6,19,2,0.331780538,1.1,4,11,24,8,16,16,48,38,0,4,0,0
math.geometry.partitioning.AbstractSubHyperplane,1.333333333,5,11,16,4.666666667,2.166666667,2,2,12,12,23,12,3,9,11,62,26,35,14,1,28,1,12,11,1,0.153846154,1.916666667,9,23,24,15,43,24,43,34,62,0,0,0
