relName,AvgWMC,CCMax,NTM,WMC,AvgSLOC,AvgSLOCExe,NA,NAIMP,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,SLOC,SLOCExe,stms,stmsExe,AID,CHM,DIT,NMA,NMI,NOA,PII,AMC,CBO,CC,ICP,MPC,MPCNew,NIHICP,RFC,RFC1,ADD,MOD,DEL,bug
math.optimization.fitting.PolynomialFitter,1,1,5,5,3.4,1.4,4,1,5,5,25,5,0,5,6,23,7,14,7,2,28,2,5,20,2,0.185185185,1,4,5,14,5,29,0,32,31,13,2,0,0
math.analysis.polynomials.PolynomialFunction,2.764705882,10,6,47,10.88235294,6.882352941,2,2,14,17,25,17,3,14,11,206,117,157,100,1,24,1,14,8,1,0.246464646,1.176470588,14,20,44,19,54,44,50,34,14,3,0,0
math.analysis.polynomials.PolynomialFunctionLagrangeForm,2.7,8,4,27,12.3,8.6,4,4,7,10,21,10,2,8,12,129,86,118,73,1,23,1,10,11,1,0.151515152,0.6,8,6,15,4,59,15,34,25,0,0,0,0
math.analysis.polynomials.PolynomialFunctionNewtonForm,1.8,4,5,18,7.5,4.7,4,4,8,10,21,10,2,8,9,81,47,70,42,1,23,1,10,11,1,0.151515152,0.9,6,9,12,5,12,12,35,26,9,1,0,0
math.analysis.polynomials.PolynomialSplineFunction,2.25,4,4,18,8.625,5.375,3,3,8,8,19,8,0,8,4,74,43,55,36,1,21,1,8,11,1,0.148148148,1.375,10,11,23,9,20,23,45,27,14,3,0,0
math.analysis.polynomials.PolynomialsUtils,2.111111111,6,5,19,14.77777778,10.44444444,5,5,1,9,20,9,3,6,16,182,94,133,72,1,22,1,9,11,1,0.15,2.555555556,7,23,48,21,304,48,54,30,70,7,0,0
math.analysis.function.Pow,1,1,1,1,3,1,0,0,1,1,12,1,0,1,2,5,1,3,1,1,14,1,1,11,1,0.083333333,1,1,1,3,1,120,3,15,13,0,1,0,0
math.optimization.direct.PowellOptimizer,3.666666667,14,3,22,20.83333333,14.33333333,11,4,6,6,31,6,2,4,17,162,86,121,62,2,33,2,5,25,2,0.198005698,4,10,24,46,22,82,35,86,53,24,19,1,0
math.analysis.function.Power,1,1,4,4,3,1,1,1,4,4,15,4,0,4,3,16,4,10,4,1,17,1,4,11,1,0.133333333,1,4,4,7,3,132,7,24,18,7,1,0,0
math.util.Precision,2.227272727,17,15,49,8.590909091,5.5,5,5,1,22,33,22,2,20,57,200,121,121,80,1,35,1,22,11,1,0.15942029,1.954545455,8,43,95,42,576,95,48,45,200,0,0,0
math.linear.PreconditionedIterativeLinearSolver,1.333333333,4,8,12,6.555555556,2.444444444,1,0,8,9,24,9,1,8,25,68,22,30,18,2,26,2,6,15,2,0.468253968,2.666666667,10,24,40,24,67,32,48,34,68,0,0,0
math.stat.descriptive.summary.Product,1.363636364,3,9,15,5.454545455,2.727272727,4,3,10,11,36,11,0,11,13,70,30,49,29,3,36,3,7,25,3,0.348060345,0.636363636,6,7,21,7,189,7,65,50,2,4,0,0
math.fraction.ProperBigFractionFormat,2.857142857,11,4,20,13.57142857,9.428571429,6,2,7,7,43,7,0,7,10,101,66,73,52,4,46,4,5,36,4,0.406432749,2.428571429,6,17,43,17,134,10,60,53,0,0,0,0
math.fraction.ProperFractionFormat,2.428571429,9,4,17,12.85714286,9,6,2,7,7,42,7,0,7,10,96,63,69,46,4,45,4,5,35,4,0.406906907,2.428571429,9,17,37,17,130,14,69,53,0,1,0,0
math.linear.QRDecomposition,4,8,2,28,15,10,7,7,7,7,18,7,0,7,3,235,70,237,129,1,20,1,7,11,1,0.145833333,2.428571429,6,17,32,12,38,32,50,22,228,6,0,0
math.complex.Quaternion,1.24137931,3,23,36,6.206896552,3.655172414,10,10,25,29,37,29,0,29,25,195,106,111,50,1,36,1,26,8,1,0.251402918,0.448275862,9,13,35,11,22,35,51,43,195,0,0,0
math.random.RandomAdaptor,1.214285714,2,11,17,3.285714286,1.214285714,2,2,13,14,25,14,1,13,7,60,17,34,17,2,28,2,14,11,2,0.207407407,0.785714286,2,11,0,0,0,0,25,25,0,0,0,0
math.random.RandomDataGenerator,1.805555556,6,22,65,7.222222222,4.305555556,3,3,36,36,47,36,5,31,53,265,155,188,107,1,49,1,36,11,1,0.162162162,1.777777778,31,64,133,44,348,133,115,70,265,0,0,0
math.random.RandomDataImpl,1,1,33,33,3.272727273,1,2,2,33,33,44,33,0,33,51,112,33,69,33,1,46,1,33,11,1,0.161764706,1,12,33,81,31,196,81,148,75,36,53,341,0
math.genetics.RandomKey,2.25,5,5,27,9.083333333,5.333333333,5,2,6,12,31,12,4,8,15,116,64,89,51,3,32,3,9,19,3,0.492676768,1.416666667,11,17,26,15,35,16,42,37,6,20,0,0
math.genetics.RandomKeyMutation,2,2,0,2,12,9,0,0,1,1,12,1,0,1,1,14,9,10,4,1,14,1,1,11,1,0.083333333,8,10,8,8,5,10,8,19,16,0,3,1,0
math.linear.RealLinearOperator,1,1,5,5,2,0.4,0,0,5,5,16,5,0,5,2,13,2,8,2,1,23,1,5,11,1,0.138888889,0,3,0,0,0,0,0,16,16,0,8,3,0
math.linear.RealMatrixFormat,2.111111111,16,15,38,9.333333333,5.888888889,13,13,15,18,29,18,0,18,22,183,106,134,82,1,31,1,18,11,1,0.157894737,1.222222222,10,22,61,19,120,61,69,37,183,0,0,0
math.linear.RealVector,1.580645161,4,32,98,9.758064516,6.193548387,0,0,61,62,71,62,4,58,62,675,384,427,217,1,74,1,60,9,1,0.224540487,1.064516129,24,66,95,47,153,95,107,86,604,62,0,0
math.linear.RealVectorFormat,1.733333333,9,12,26,7,4.066666667,10,10,12,15,26,15,0,15,16,117,61,87,52,1,28,1,15,11,1,0.15625,1.066666667,8,16,47,16,86,47,45,36,0,0,0,0
math.linear.RectangularCholeskyDecomposition,4.25,14,3,17,19,13.25,2,2,4,4,15,4,0,4,3,80,53,74,41,1,17,1,4,11,1,0.133333333,1.75,5,7,13,4,18,13,32,18,76,3,0,1
math.geometry.partitioning.RegionFactory,2,6,6,16,8.125,4.625,1,1,8,8,19,8,1,7,11,130,37,81,46,1,21,1,8,11,1,0.148148148,5.875,12,47,52,28,259,52,44,32,0,0,0,0
math.stat.regression.RegressionResults,2.352941176,6,9,40,9.235294118,5.647058824,13,13,17,17,28,17,2,15,16,174,96,118,82,1,30,1,17,11,1,0.157407407,0.529411765,5,9,26,9,18,26,39,31,1,13,3,0
math.analysis.solvers.RegulaFalsiSolver,1,1,4,4,3.75,1,13,0,4,4,47,4,0,4,6,17,4,9,4,4,52,4,4,43,4,0.213333333,1.25,0,5,15,4,16,0,79,65,0,0,0,0
math.optimization.linear.Relationship,1.4,3,4,7,3.2,1.8,6,4,5,5,21,5,1,4,2,23,9,11,6,2,23,2,4,16,2,0.197385621,0,2,0,0,0,0,0,21,21,0,0,0,0
math.util.ResizableDoubleArray,1.632653061,5,34,80,7.795918367,4.469387755,12,12,48,49,58,49,9,40,48,416,219,239,159,1,58,1,47,9,1,0.223800505,0.836734694,18,41,53,21,71,53,76,68,109,119,24,0
math.analysis.solvers.RiddersSolver,3.25,10,3,13,18,13,11,1,4,4,40,4,1,3,3,76,52,54,31,3,43,3,3,36,3,0.196509009,6,5,24,46,24,65,25,71,58,2,5,0,0
math.analysis.function.Rint,1,1,1,1,3,1,0,0,1,1,12,1,0,1,1,5,1,3,1,1,14,1,1,11,1,0.083333333,1,1,1,2,1,14,2,14,13,0,1,0,0
math.analysis.integration.RombergIntegrator,2.5,5,1,10,13.75,8.5,13,1,4,4,29,4,1,3,6,59,34,40,21,2,31,2,3,25,2,0.179487179,5.75,9,23,39,18,93,25,60,46,25,12,14,0
math.complex.RootsOfUnity,2.5,4,2,15,12.83333333,9,6,6,6,6,17,6,0,6,3,85,54,54,36,1,19,1,6,11,1,0.142857143,2.666666667,7,16,28,9,106,28,37,23,85,0,0,0
math.geometry.euclidean.threed.Rotation,2.583333333,24,15,62,19.58333333,16,6,6,22,24,35,24,2,22,33,478,384,329,179,1,37,1,24,11,1,0.16,12.25,9,294,426,254,3595,426,77,59,56,48,51,0
math.geometry.euclidean.threed.RotationOrder,1,1,5,5,3.8,1.6,16,16,5,5,15,5,1,4,4,50,8,30,8,1,16,1,4,10,1,0.163636364,0,3,0,0,0,0,0,15,15,0,0,0,0
math.ode.nonstiff.RungeKuttaIntegrator,6.5,12,1,13,36,27.5,15,5,2,2,35,2,1,1,8,80,55,73,47,2,42,2,1,33,2,0.120915033,22,12,44,52,23,178,28,118,78,2,15,6,0
math.ode.nonstiff.RungeKuttaStepInterpolator,3.5,9,3,21,12.33333333,7.833333333,21,3,6,6,42,6,1,5,9,83,47,68,46,2,50,2,3,36,2,0.192307692,2.333333333,4,14,15,6,117,0,58,47,21,8,2,0
math.distribution.SaddlePointExpansion,0,0,0,0,0,0,1,1,0,0,11,0,0,0,0,3,0,2,0,1,13,1,0,11,1,0,0,2,0,0,0,0,0,11,11,0,0,0,0
math.linear.SchurTransformer,5.5,18,0,55,24.7,18.4,7,7,10,10,21,10,6,4,16,262,184,225,156,1,23,1,10,11,1,0.151515152,8.4,10,84,71,33,144,71,65,32,262,0,0,0
math.analysis.solvers.SecantSolver,2.5,7,3,10,11.25,7,11,1,4,4,40,4,1,3,3,49,28,34,19,3,43,3,3,36,3,0.196509009,4,4,16,30,16,48,9,69,56,2,2,0,0
math.stat.descriptive.moment.SecondMoment,1.142857143,2,6,8,5,2.571428571,8,2,6,7,38,7,0,7,4,43,18,28,17,4,42,4,4,31,4,0.353856209,1.714285714,4,12,13,7,40,4,65,53,1,1,0,0
math.geometry.euclidean.threed.Segment,1,1,4,4,3.5,1.5,3,3,4,4,15,4,0,4,3,19,6,14,6,1,18,1,4,11,1,0.133333333,0,2,0,0,0,0,0,15,15,17,0,0,0
math.geometry.euclidean.twod.Segment,1.2,2,4,6,6.2,3.8,3,3,5,5,16,5,0,5,4,36,19,26,9,1,18,1,5,11,1,0.138888889,3,3,15,22,15,53,22,22,21,17,0,0,0
math.stat.descriptive.moment.SemiVariance,1.3125,6,15,21,5.25,2.5625,6,5,15,16,38,16,0,16,25,104,41,68,35,2,40,2,15,22,2,0.222826087,0.625,8,10,20,10,44,13,64,49,4,6,7,0
math.geometry.partitioning.Side,1,1,2,2,0,0,6,4,2,2,19,2,0,2,1,6,0,1,0,2,22,2,2,17,2,0.148148148,0,1,0,0,0,0,0,19,19,0,0,0,0
math.analysis.function.Sigmoid,1.666666667,5,5,10,7.833333333,4.666666667,2,2,5,6,17,6,1,5,7,77,28,52,30,1,19,1,6,11,1,0.142857143,1.166666667,5,7,10,6,24,10,34,22,34,8,8,0
math.analysis.function.Signum,1,1,1,1,3,1,0,0,1,1,12,1,0,1,1,5,1,3,1,1,14,1,1,11,1,0.083333333,1,1,1,2,1,2,2,13,13,0,1,0,0
math.optimization.SimpleBounds,1,1,3,3,3.666666667,1.333333333,2,2,3,3,14,3,0,3,2,15,4,10,4,1,16,1,3,11,1,0.125,0,0,0,0,0,0,0,14,14,15,0,0,0
math.optimization.SimplePointChecker,2.25,5,2,9,9.75,5.25,6,2,4,4,19,4,0,4,8,46,21,29,15,2,21,2,3,15,2,0.1875,2.75,5,11,21,11,37,13,30,23,46,0,0,0
math.stat.regression.SimpleRegression,2.580645161,14,12,80,10.35483871,6.967741935,10,10,31,31,42,31,2,29,16,333,216,226,142,1,44,1,31,11,1,0.161458333,1.322580645,11,41,149,33,360,149,104,54,177,38,4,0
math.optimization.univariate.SimpleUnivariateValueChecker,1.75,3,2,7,8,4,6,2,4,4,20,4,0,4,8,39,16,22,11,2,23,2,4,16,2,0.177777778,2.75,5,11,21,11,37,13,31,24,39,0,0,0
math.optimization.SimpleValueChecker,1.75,3,2,7,8,4,6,2,4,4,20,4,0,4,8,39,16,22,11,2,23,2,4,16,2,0.177777778,2.75,6,11,21,11,37,13,31,24,39,0,0,0
math.optimization.SimpleVectorValueChecker,2.25,5,2,9,9.75,5.25,6,2,4,4,20,4,0,4,8,46,21,29,15,2,23,2,4,16,2,0.177777778,2.75,5,11,21,11,37,13,32,24,46,0,0,0
math.optimization.direct.SimplexOptimizer,2,6,5,14,9.714285714,5.571428571,8,1,7,7,32,7,3,4,9,77,39,49,26,2,34,2,6,25,2,0.203296703,2.428571429,10,17,29,15,72,19,79,52,21,17,0,0
math.optimization.linear.SimplexSolver,4.428571429,16,2,31,16.71428571,11,11,4,7,7,28,7,4,3,7,124,77,96,56,2,30,2,6,21,2,0.205627706,6,9,42,78,42,233,71,128,49,26,21,1,1
