relName,className,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn, bug
math3\analysis\FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils,432,25,15,42,undefined,1,0,9,6,9,0,0,0,0.346153846153846,0.375,0.209302325581395,0,0,0,169,432,263,0,10,273,0.608796296296296,0,0.0231481481481481,0.631944444444444,0
math3\analysis\function\Abs.java,org.apache.commons.math3.analysis.function.Abs,5,1,1,13,undefined,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Acos.java,org.apache.commons.math3.analysis.function.Acos,12,3,4,25,undefined,1,0,1,3,9,0,0,0,0.25,0.6,0.346153846153846,0,0,0,12,12,1,1,5,6,0.0833333333333333,0.0833333333333333,0.416666666666667,0.5,0
math3\analysis\function\Acosh.java,org.apache.commons.math3.analysis.function.Acosh,12,3,4,24,undefined,1,0,1,3,7,0,0,0,0.25,0.6,0.28,0,0,0,12,12,1,1,5,6,0.0833333333333333,0.0833333333333333,0.416666666666667,0.5,0
math3\analysis\function\Add.java,org.apache.commons.math3.analysis.function.Add,5,1,0,12,undefined,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Asin.java,org.apache.commons.math3.analysis.function.Asin,12,3,4,24,undefined,1,0,1,3,8,0,0,0,0.25,0.6,0.32,0,0,0,12,12,1,1,5,6,0.0833333333333333,0.0833333333333333,0.416666666666667,0.5,0
math3\analysis\function\Asinh.java,org.apache.commons.math3.analysis.function.Asinh,12,3,4,24,undefined,1,0,1,3,7,0,0,0,0.25,0.6,0.28,0,0,0,12,12,1,1,5,6,0.0833333333333333,0.0833333333333333,0.416666666666667,0.5,0
math3\analysis\function\Atan.java,org.apache.commons.math3.analysis.function.Atan,12,3,4,23,undefined,1,0,1,3,8,0,0,0,0.25,0.6,0.333333333333333,0,0,0,12,12,1,1,5,6,0.0833333333333333,0.0833333333333333,0.416666666666667,0.5,0
math3\analysis\function\Atan2.java,org.apache.commons.math3.analysis.function.Atan2,5,1,1,16,undefined,1,0,0,0,2,0,0,0,0,0,0.117647058823529,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Atanh.java,org.apache.commons.math3.analysis.function.Atanh,12,3,4,23,undefined,1,0,1,3,7,0,0,0,0.25,0.6,0.291666666666667,0,0,0,12,12,1,1,5,6,0.0833333333333333,0.0833333333333333,0.416666666666667,0.5,0
math3\analysis\function\Cbrt.java,org.apache.commons.math3.analysis.function.Cbrt,12,3,4,27,undefined,1,0,1,3,13,0,0,0,0.25,0.6,0.464285714285714,0,0,0,12,12,1,1,5,6,0.0833333333333333,0.0833333333333333,0.416666666666667,0.5,0
math3\analysis\function\Ceil.java,org.apache.commons.math3.analysis.function.Ceil,5,1,1,14,undefined,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
