relName,className,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn, bug
math\util\ContinuedFraction.java,org.apache.commons.math.util.ContinuedFraction,61,12,6,23,0.833333333,1,0,0,0,0,0.166666667,0,0,0,0,0,0.090909091,0,0,62,61,0,1,3,3,0,0.016393443,0.049180328,0.049180328,0
math\util\DefaultTransformer.java,org.apache.commons.math.util.DefaultTransformer,17,4,5,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,4,4,0,0,0.235294118,0.235294118,0
math\util\MathUtils.java,org.apache.commons.math.util.MathUtils,436,136,11,54,0.989417989,1,0,9,1,4,0.015733779,0,0,0.065693431,0.083333333,0.072727273,0.007908735,0,0,404,436,33,1,2,35,0.075688073,0.002293578,0.004587156,0.080275229,3
math\util\ResizableDoubleArray.java,org.apache.commons.math.util.ResizableDoubleArray,315,64,7,51,0.8,1,0,14,2,11,0.021428571,0,0,0.215384615,0.25,0.211538462,0.011904762,0,0,228,315,93,6,41,134,0.295238095,0.019047619,0.13015873,0.425396825,0
math\util\TransformerMap.java,org.apache.commons.math.util.TransformerMap,45,12,11,21,0.703703704,1,0,0,1,0,0,0,0,0,0.083333333,0,0,0,0,45,45,0,0,10,10,0,0,0.222222222,0.222222222,0
math\ConvergingAlgorithmImpl.java,org.apache.commons.math.ConvergingAlgorithmImpl,49,11,0,22,0.814285714,1,3,11,0,22,0.814285714,1,3,1,1,1,1,1,1,0,49,49,0,0,49,1,0,0,1,0
math\MathRuntimeException.java,org.apache.commons.math.MathRuntimeException,173,28,19,60,0.893939394,4,3,28,19,60,0.893939394,4,3,1,1,1,1,1,1,0,173,173,0,0,173,1,0,0,1,0
math\MaxEvaluationsExceededException.java,org.apache.commons.math.MaxEvaluationsExceededException,16,3,1,51,0.75,5,0,3,1,51,0.75,5,0,1,1,1,1,1,1,0,16,16,0,0,16,1,0,0,1,0
math\analysis\integration\LegendreGaussIntegrator.java,org.apache.commons.math.analysis.integration.LegendreGaussIntegrator,119,12,8,41,0.9,3,0,12,8,41,0.9,3,0,1,1,1,1,1,1,0,119,119,0,0,119,1,0,0,1,0
math\analysis\integration\RombergIntegrator.java,org.apache.commons.math.analysis.integration.RombergIntegrator,55,10,9,44,,3,0,10,9,44,,3,0,1,1,1,1,1,1,0,55,55,0,0,55,1,0,0,1,0
