relName,className,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn, bug
math3\exception\NotStrictlyPositiveException.java,org.apache.commons.math3.exception.NotStrictlyPositiveException,10,2,2,61,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0
math3\exception\NullArgumentException.java,org.apache.commons.math3.exception.NullArgumentException,10,2,2,55,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0
math3\exception\NumberIsTooLargeException.java,org.apache.commons.math3.exception.NumberIsTooLargeException,27,5,3,59,0.888888889,7,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0
math3\exception\NumberIsTooSmallException.java,org.apache.commons.math3.exception.NumberIsTooSmallException,27,5,3,59,0.888888889,7,3,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0
math3\exception\OutOfRangeException.java,org.apache.commons.math3.exception.OutOfRangeException,24,4,3,59,0.888888889,7,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0,0,0,0,0,0,0,0,0
math3\exception\TooManyEvaluationsException.java,org.apache.commons.math3.exception.TooManyEvaluationsException,7,1,3,59,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0
math3\exception\ZeroException.java,org.apache.commons.math3.exception.ZeroException,9,2,2,57,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0
math3\exception\util\ArgUtils.java,org.apache.commons.math3.exception.util.ArgUtils,18,6,2,13,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0
math3\exception\util\DummyLocalizable.java,org.apache.commons.math3.exception.util.DummyLocalizable,17,4,3,14,0.666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0
math3\exception\util\ExceptionContext.java,org.apache.commons.math3.exception.util.ExceptionContext,137,28,18,30,0.823529412,1,0,0,0,0,0,0,0,0,0,0,0,0,0,137,137,0,0,0,0,0,0,0,0,0
math3\exception\util\LocalizedFormats.java,org.apache.commons.math3.exception.util.LocalizedFormats,331,7,5,22,1.247588424,2,0,0,1,0,3.06E-05,0,0,0,0.166666667,0,1.36E-05,0,0,334,331,3,6,4,7,0.009063444,0.018126888,0.012084592,0.021148036,1
math3\filter\DefaultMeasurementModel.java,org.apache.commons.math3.filter.DefaultMeasurementModel,18,4,5,34,0.666666667,1,0,0,3,3,0,0,0,0,0.5,0.085714286,0,0,0,20,18,0,2,4,4,0,0.111111111,0.222222222,0.222222222,0
math3\filter\DefaultProcessModel.java,org.apache.commons.math3.filter.DefaultProcessModel,53,8,7,39,0.857142857,1,0,0,3,3,0,0,0,0,0.375,0.075,0,0,0,51,53,2,0,2,4,0.037735849,0,0.037735849,0.075471698,0
math3\filter\KalmanFilter.java,org.apache.commons.math3.filter.KalmanFilter,135,23,16,77,0.828282828,1,0,0,2,6,0,0,0,0,0.117647059,0.076923077,0,0,0,133,135,3,1,7,10,0.022222222,0.007407407,0.051851852,0.074074074,0
math3\fraction\AbstractFormat.java,org.apache.commons.math3.fraction.AbstractFormat,75,18,11,74,0.916666667,3,2,0,0,0,0,0,0,0,0,0,0,0,0,75,75,0,0,2,2,0,0,0.026666667,0.026666667,0
