relName,className,WMC,NA,NAIMP,NM,NMIMP,NumPara,SLOC1,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,ICP,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
math\ArgumentOutsideDomainException.java,org.apache.commons.math.ArgumentOutsideDomainException,1,7,1,21,1,3,7,4,3,0,3,0,0,0,1,20,0,3,0,0,1,0,0,0,0,1,1,undefined,undefined,0,undefined,0,0,1,1,0,1,1,0,0,0,1,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0
math\ConvergenceException.java,org.apache.commons.math.ConvergenceException,4,4,1,15,4,6,15,10,2,2,2,0,0,0,4,11,0,2,4,6,1,0,0,0,0,0.5,-1,undefined,undefined,0,undefined,6,6,4,4,1.33333333333333,0.333333333333333,0,0,0,0,-1,undefined,0,0,3,519.226688103619,0,0,0,0,4,9,9,3,0,0,0,5,4,1,0,16,0
math\ConvergingAlgorithmImpl.java,org.apache.commons.math.ConvergingAlgorithmImpl,11,7,7,11,11,5,49,36,0,2,0,0,0,0,11,0,0,0,3,15,0,0,0,0,0,0.227272727272727,0.2,0.2,0.2,0,0.2,36,17,1,1,0.814285714285714,0.618181818181818,0.345454545454545,0.25974025974026,1,0.7,-1,0.2,0,0,0,2613.67278291109,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,11,0
math\DimensionMismatchException.java,org.apache.commons.math.DimensionMismatchException,3,6,3,14,3,2,16,12,2,0,2,0,0,0,3,11,0,2,0,0,1,0,0,0,0,0.333333333333333,0,0,0,0,0,1,0,1,1,0.833333333333333,0.333333333333333,0.666666666666667,0.444444444444444,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,15,0
math\DuplicateSampleAbscissaException.java,org.apache.commons.math.DuplicateSampleAbscissaException,2,4,1,13,2,3,10,6,2,0,2,0,0,0,2,11,0,2,0,0,1,0,0,0,0,0.5,0,1,1,0,1,1,1,2,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,2,0,14,0
math\FunctionEvaluationException.java,org.apache.commons.math.FunctionEvaluationException,9,6,3,20,9,20,47,30,2,1,2,0,0,0,9,11,0,2,1,1,1,0,0,0,0,0.444444444444444,1,1,1,0,1,0,0,1,1,0.666666666666667,0.444444444444444,1,0.407407407407407,1,0.125,-1,1,0,0,7,278.860741798299,1,1,0,0,0,23,21,8,2,0,1,34,8,0,1,22,0
math\MathConfigurationException.java,org.apache.commons.math.MathConfigurationException,4,4,1,15,4,6,15,10,2,0,2,0,0,0,4,11,0,2,0,0,1,0,0,0,0,0.5,-1,undefined,undefined,0,undefined,6,6,4,4,1.33333333333333,0.333333333333333,0,0,0,0,-1,undefined,0,0,4,0,0,0,0,0,0,10,10,4,0,0,0,0,4,0,0,16,0
math\MathException.java,org.apache.commons.math.MathException,17,3,3,12,12,11,63,41,1,3,1,0,0,0,12,0,0,1,13,21,1,0,0,0,0,0.152777777777778,0.254545454545455,0.476190476190476,0.523809523809524,7,0.476190476190476,46,26,6,2,0.727272727272727,0.724747474747475,0.378787878787879,0.333333333333333,0.727272727272727,0.545454545454545,-0.800000000000003,0.428571428571429,0,0,0,7189.93519749712,0,1,0,0,23,0,0,0,0,0,1,0,14,3,0,12,0
math\MathRuntimeException.java,org.apache.commons.math.MathRuntimeException,29,3,3,24,24,36,216,120,1,2,1,0,0,0,24,0,0,1,3,5,1,0,0,0,0,0.214285714285714,-0.0118577075098814,0.0584795321637427,0.064327485380117,11,0.0584795321637427,262,248,19,14,0.898550724637681,0.733954451345756,0.072463768115942,0.138888888888889,0.304347826086957,0.260869565217391,-0.261261261261262,0.0526315789473684,0,1,0,6046.89981335562,0,1,0,0,4,0,0,0,0,0,1,0,40,315,0,24,0
math\MaxEvaluationsExceededException.java,org.apache.commons.math.MaxEvaluationsExceededException,3,6,2,18,3,4,16,11,3,0,3,0,0,0,3,15,0,3,0,0,1,0,0,0,0,0.444444444444444,1,1,1,0,1,0,0,1,1,0.75,0.333333333333333,1,0.5,1,0.5,0,1,0,0,1,0,0,0,0,0,0,3,3,1,0,0,0,0,1,5,0,19,0
