relName,className,WMC,NA,NAIMP,NM,NMIMP,NumPara,SLOC1,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,ICP,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
math3\analysis\integration\gauss\GaussIntegratorFactory.java,org.apache.commons.math3.analysis.integration.gauss.GaussIntegratorFactory,7,2,2,6,6,13,39,24,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0.416666666666667,0.3,1,1,20,0.333333333333333,13,11,4,1,0.8,0.6,0.533333333333333,0.333333333333333,0.2,0,0.25,0.333333333333333,0,0,0,0,5,2,0,0,0,15,0,8,15,1,2,0,8,1,8,27,0
math3\analysis\integration\gauss\LegendreHighPrecisionRuleFactory.java,org.apache.commons.math3.analysis.integration.gauss.LegendreHighPrecisionRuleFactory,15,6,4,6,3,2,122,112,1,0,1,1,1,0,2,3,1,1,0,0,1,0.166666666666667,0,0,0,0.333333333333333,0,undefined,undefined,0,undefined,2,1,2,1,0.5,0.333333333333333,0.666666666666667,0.666666666666667,1,0.5,0,undefined,0,0,1,0,3,4,0,0,0,12,2,5,10,0,4,0,1,0,4,20,0
math3\analysis\integration\gauss\LegendreRuleFactory.java,org.apache.commons.math3.analysis.integration.gauss.LegendreRuleFactory,13,2,0,4,1,1,80,71,1,0,1,1,1,0,0,3,1,1,0,0,1,0.25,0,0,0,1,1,undefined,undefined,0,undefined,0,0,1,1,undefined,1,1,undefined,0,0,1,undefined,0,0,1,0,3,0,0,0,0,12,2,5,10,0,0,0,0,0,4,18,0
math3\analysis\interpolation\BicubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.BicubicSplineFunction,22,7,7,9,9,6,136,114,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.148148148148148,0.107142857142857,1,1,9,1,26,16,1,1,0.839285714285714,0.722222222222222,0.305555555555556,0.253968253968254,1,0.875,0,1,0,0,0,0,1,0,0,0,0,8,0,2,8,1,0,0,0,7,2,16,0
math3\analysis\interpolation\BicubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.BicubicSplineInterpolatingFunction,34,5,5,11,11,24,174,115,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0.295454545454545,0.0888888888888889,1,1,35,1,49,43,8,1,0.82,0.690909090909091,0.254545454545455,0.254545454545455,0.9,0.8,0.0666666666666671,1,0,0,0,0,6,1,0,0,0,55,0,22,55,0,1,1,0,7,22,37,0
math3\analysis\interpolation\BicubicSplineInterpolator.java,org.apache.commons.math3.analysis.interpolation.BicubicSplineInterpolator,18,0,0,3,3,6,74,68,0,1,0,1,0,1,3,0,0,0,1,1,0,0,0,0,0,0.444444444444444,0,1,1,10,1,3,3,3,1,undefined,0.333333333333333,0.666666666666667,undefined,0,0,0,1,0,0,0,1525.60896497974,8,0,0,0,1,26,0,10,26,0,0,0,1,3,10,32,0
math3\analysis\interpolation\DividedDifferenceInterpolator.java,org.apache.commons.math3.analysis.interpolation.DividedDifferenceInterpolator,4,1,1,2,2,4,32,24,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,1,1,2,1,2,1,1,0,0,0,1,1,0,0,0,0,5,0,0,0,0,11,0,3,11,0,0,0,1,0,3,18,0
math3\analysis\interpolation\HermiteInterpolator.java,org.apache.commons.math3.analysis.interpolation.HermiteInterpolator,21,3,3,7,7,5,95,91,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0.178571428571429,0.666666666666667,1,1,11,1,6,0,2,1,0.444444444444444,0.666666666666667,0.761904761904762,0.619047619047619,0.833333333333333,0.833333333333333,0,1,0,0,0,0,8,3,0,0,0,23,0,12,23,0,3,0,4,0,12,38,0
math3\analysis\interpolation\LinearInterpolator.java,org.apache.commons.math3.analysis.interpolation.LinearInterpolator,5,0,0,1,1,2,28,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,undefined,1,1,undefined,0,0,1,1,0,0,0,0,7,0,0,0,0,15,0,5,15,0,0,0,1,0,5,21,0
math3\analysis\interpolation\LoessInterpolator.java,org.apache.commons.math3.analysis.interpolation.LoessInterpolator,33,7,7,10,10,20,188,138,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.35,0.0555555555555556,1,1,22,1,41,37,7,1,0.904761904761905,0.566666666666667,0.244444444444444,0.185714285714286,0.555555555555556,0.333333333333333,-0.571428571428572,1,0,0,0,0,13,0,0,0,0,39,0,15,39,0,0,0,1,0,15,39,0
