"moduleName","avg_SLOC","avg_WMC","avg_CBO","avg_RFC","avg_LCOM5","avg_DIT","avg_NOC","avg_delta_WMC","avg_delta_CBO","avg_delta_RFC","avg_delta_LCOM5","avg_delta_DIT","avg_delta_NOC","avg_X.WMC","avg_X.CBO","avg_X.RFC","avg_X.LCOM5","avg_X.DIT","avg_X.NOC","avg_addedsloc","avg_deletedsloc","avg_changedsloc","avg_churnsloc","avg_X.added","avg_X.deleted","avg_X.changed","avg_X.churn","max_SLOC","max_WMC","max_CBO","max_RFC","max_LCOM5","max_DIT","max_NOC","max_delta_WMC","max_delta_CBO","max_delta_RFC","max_delta_LCOM5","max_delta_DIT","max_delta_NOC","max_X.WMC","max_X.CBO","max_X.RFC","max_X.LCOM5","max_X.DIT","max_X.NOC","max_addedsloc","max_deletedsloc","max_changedsloc","max_churnsloc","max_X.added","max_X.deleted","max_X.changed","max_X.churn","sum_SLOC","sum_WMC","sum_CBO","sum_RFC","sum_LCOM5","sum_DIT","sum_NOC","sum_delta_WMC","sum_delta_CBO","sum_delta_RFC","sum_delta_LCOM5","sum_delta_DIT","sum_delta_NOC","sum_X.WMC","sum_X.CBO","sum_X.RFC","sum_X.LCOM5","sum_X.DIT","sum_X.NOC","sum_addedsloc","sum_deletedsloc","sum_changedsloc","sum_churnsloc","sum_X.added","sum_X.deleted","sum_X.changed","sum_X.churn","bug"
"org.joda.time",250.055555555556,61,11.8611111111111,267.361111111111,NA,1.22222222222222,0.388888888888889,1.25,0,1.41666666666667,0.000356607888888889,0,0,0.0131861770833333,0,0.00368619877777778,0.000182139166666667,0,0,4.33333333333333,0,0.166666666666667,4.5,0.01308078375,0,0.000439162138888889,0.0135199458888889,700,173,22,499,NA,3,4,6,0,6,0.004385965,0,0,0.083333333,0,0.017182131,0.002283105,0,0,20,0,2,20,0.086419753,0,0.004474273,0.086419753,9002,2196,427,9625,NA,44,14,45,0,51,0.012837884,0,0,0.474702375,0,0.132703156,0.00655701,0,0,156,0,6,162,0.470908215,0,0.015809837,0.486718052,2
"org.joda.time.base",108.538461538462,27.2307692307692,8.23076923076923,257.461538461538,NA,0.615384615384615,2.38461538461538,0.230769230769231,0.153846153846154,15,0.00697023284615385,0,0,0.00757834761538462,0.00904977376923077,0.397542786230769,0.003868646,0,0,2.84615384615385,3.92307692307692,4.07692307692308,6.92307692307692,0.0287595261538462,0.0575996121538462,0.0512977996153846,0.0800573256923077,261,53,16,347,NA,2,7,2,2,173,0.090613027,0,0,0.08,0.117647059,5.088235294,0.050292398,0,0,16,45,32,46,0.225806452,0.725806452,0.516129032,0.741935484,1411,354,107,3347,NA,8,31,3,2,195,0.090613027,0,0,0.098518519,0.117647059,5.168056221,0.050292398,0,0,37,51,53,90,0.37387384,0.748794958,0.666871395,1.040745234,0
"org.joda.time.chrono",159.833333333333,30.4333333333333,7.63333333333333,213.066666666667,0.9290689635,3.13333333333333,0.566666666666667,0.1,0.0333333333333333,0.4,0,0,0,0.0019607843,0.0019607843,0.00122996356666667,0,0,0,0.433333333333333,0,0.533333333333333,0.966666666666667,0.000649675166666667,0,0.00187098973333333,0.0025206649,667,89,26,379,1.2,5,8,3,1,1,0,0,0,0.058823529,0.058823529,0.003759398,0,0,0,13,0,8,18,0.019490255,0,0.033195021,0.033195021,4795,913,229,6392,27.872068905,94,17,3,1,12,0,0,0,0.058823529,0.058823529,0.036898907,0,0,0,13,0,16,29,0.019490255,0,0.056129692,0.075619947,1
"org.joda.time.convert",63.6923076923077,15.1538461538462,5.84615384615385,185.076923076923,NA,0.769230769230769,0.769230769230769,0,0,0.846153846153846,0,0,0,0,0,0.00401413376923077,0,0,0,0,0,0,0,0,0,0,0,266,59,18,331,NA,1,10,0,0,1,0,0,0,0,0,0.005076142,0,0,0,0,0,0,0,0,0,0,0,828,197,76,2406,NA,10,10,0,0,11,0,0,0,0,0,0.052183739,0,0,0,0,0,0,0,0,0,0,0,0
"org.joda.time.field",90.12,25.68,3.32,86.84,NA,1.72,1.8,0.24,0,0.24,0.00072582972,0,0,0.00858237548,0,0.00444367592,0.00042589624,0,0,0.72,0,0.28,1,0.00842134064,0,0.00264734296,0.0110686836,304,88,9,351,NA,3,7,3,0,2,0.015873016,0,0,0.111111111,0,0.060606061,0.00952381,0,0,9,0,6,9,0.105882353,0,0.044444444,0.105882353,2253,642,83,2171,NA,43,45,6,0,6,0.018145743,0,0,0.214559387,0,0.111091898,0.010647406,0,0,18,0,7,25,0.210533516,0,0.066183574,0.27671709,0
"org.joda.time.format",536.1,70.9,7.6,158,0.8761671193,0,0,1.2,0.1,1.2,0.0010212976,0,0,0.0165136521,0.0052631579,0.0044092349,0.0005780391,0,0,10.1,0.5,2.7,12.8,0.0139188023,0.0013180696,0.0058961577,0.0198149601,1766,177,18,309,1,0,0,7,1,7,0.008522727,0,0,0.088607595,0.052631579,0.022580645,0.004909984,0,0,71,3,11,81,0.058823529,0.012048193,0.032352941,0.091176471,5361,709,76,1580,8.761671193,0,0,12,1,12,0.010212976,0,0,0.165136521,0.052631579,0.044092349,0.005780391,0,0,101,5,27,128,0.139188023,0.013180696,0.058961577,0.198149601,1
"org.joda.time.tz",312.285714285714,32.5714285714286,4.57142857142857,193.714285714286,NA,0.285714285714286,0,0.571428571428571,0,0.714285714285714,0.00588697014285714,0,0,0.0323529411428571,0,0.00219966385714286,0.002997003,0,0,3.42857142857143,2,2.14285714285714,5.57142857142857,0.043963346,0.0208265477142857,0.0236036517142857,0.0675669978571429,1161,89,16,404,NA,1,0,3,0,2,0.041208791,0,0,0.176470588,0,0.006153846,0.020979021,0,0,16,7,8,24,0.296296296,0.092592593,0.148148148,0.444444444,2186,228,32,1356,NA,2,0,4,0,5,0.041208791,0,0,0.226470588,0,0.015397647,0.020979021,0,0,24,14,15,39,0.307743422,0.145785834,0.165225562,0.472968985,1
