"moduleName","avg_SLOC","avg_WMC","avg_CBO","avg_RFC","avg_LCOM5","avg_DIT","avg_NOC","avg_delta_WMC","avg_delta_CBO","avg_delta_RFC","avg_delta_LCOM5","avg_delta_DIT","avg_delta_NOC","avg_X.WMC","avg_X.CBO","avg_X.RFC","avg_X.LCOM5","avg_X.DIT","avg_X.NOC","avg_addedsloc","avg_deletedsloc","avg_changedsloc","avg_churnsloc","avg_X.added","avg_X.deleted","avg_X.changed","avg_X.churn","max_SLOC","max_WMC","max_CBO","max_RFC","max_LCOM5","max_DIT","max_NOC","max_delta_WMC","max_delta_CBO","max_delta_RFC","max_delta_LCOM5","max_delta_DIT","max_delta_NOC","max_X.WMC","max_X.CBO","max_X.RFC","max_X.LCOM5","max_X.DIT","max_X.NOC","max_addedsloc","max_deletedsloc","max_changedsloc","max_churnsloc","max_X.added","max_X.deleted","max_X.changed","max_X.churn","sum_SLOC","sum_WMC","sum_CBO","sum_RFC","sum_LCOM5","sum_DIT","sum_NOC","sum_delta_WMC","sum_delta_CBO","sum_delta_RFC","sum_delta_LCOM5","sum_delta_DIT","sum_delta_NOC","sum_X.WMC","sum_X.CBO","sum_X.RFC","sum_X.LCOM5","sum_X.DIT","sum_X.NOC","sum_addedsloc","sum_deletedsloc","sum_changedsloc","sum_churnsloc","sum_X.added","sum_X.deleted","sum_X.changed","sum_X.churn","bug"
"org.apache.commons.math",63.7272727272727,7.63636363636364,0.0909090909090909,15.5454545454545,0.942768594909091,1.72727272727273,2.09090909090909,5.63636363636364,0.0909090909090909,11.5454545454545,0.625521448181818,1.09090909090909,1.81818181818182,0.720095693818182,0.681818181818182,0.746642104818182,0.666749958909091,0.636363636363636,0.814935064909091,55.3636363636364,1,4.54545454545455,59.9090909090909,0.719318181818182,0.024905303,0.161142676727273,0.880460858545455,315,27,1,23,2,3,13,27,1,23,2,3,10,1,1,1,1,1,1,315,9,21,315,1,0.140625,0.6,1,701,84,1,171,10.370454544,19,23,62,1,127,6.88073593,12,20,7.921052632,7.5,8.213063153,7.334249548,7,8.964285714,609,11,50,659,7.9125,0.273958333,1.772569444,9.685069444,0
"org.apache.commons.math.analysis.integration",74.6,11.6,4.2,30.6,1.0745454544,1.8,0.8,11.6,4.2,30.6,1.0745454544,1.8,0.8,1,1,1,1,1,1,74.6,0,0,74.6,1,0,0,1,120,14,5,33,1.25,2,4,14,5,33,1.25,2,4,1,1,1,1,1,1,120,0,0,120,1,0,0,1,373,58,21,153,5.372727272,9,4,58,21,153,5.372727272,9,4,5,5,5,5,5,5,373,0,0,373,5,0,0,5,0
"org.apache.commons.math.analysis.interpolation",34.3333333333333,5.66666666666667,3.33333333333333,4.33333333333333,NA,0,0,5.66666666666667,3.33333333333333,4.33333333333333,NA,0,0,1,1,1,1,1,1,34.3333333333333,0,0,34.3333333333333,1,0,0,1,52,9,4,6,NA,0,0,9,4,6,NA,0,0,1,1,1,1,1,1,52,0,0,52,1,0,0,1,103,17,10,13,NA,0,0,17,10,13,NA,0,0,3,3,3,3,3,3,103,0,0,103,3,0,0,3,0
"org.apache.commons.math.analysis.polynomials",107.6,22,2,15,0.771904762,0,0,22,2,15,0.771904762,0,0,1,1,1,1,1,1,107.6,0,0,107.6,1,0,0,1,142,37,4,24,1,0,0,37,4,24,1,0,0,1,1,1,1,1,1,142,0,0,142,1,0,0,1,538,110,10,75,3.85952381,0,0,110,10,75,3.85952381,0,0,5,5,5,5,5,5,538,0,0,538,5,0,0,5,0
"org.apache.commons.math.analysis.solvers",88.0909090909091,17.8181818181818,4.63636363636364,32.5454545454545,NA,1.45454545454545,0.727272727272727,17.8181818181818,4.63636363636364,32.5454545454545,NA,1.45454545454545,0.727272727272727,1,1,1,1,1,1,88.0909090909091,0,0,88.0909090909091,1,0,0,1,182,35,7,60,NA,2,7,35,7,60,NA,2,7,1,1,1,1,1,1,182,0,0,182,1,0,0,1,969,196,51,358,NA,16,8,196,51,358,NA,16,8,11,11,11,11,11,11,969,0,0,969,11,0,0,11,3
"org.apache.commons.math.complex",147.333333333333,36.3333333333333,1.66666666666667,25.3333333333333,NA,0.666666666666667,0,26.6666666666667,1,18,0.0116985483333333,0.333333333333333,0,2.56944444433333,0.388888888666667,2.48361823366667,0.00647324433333333,0.111111111,0,49,65.6666666666667,7,56,0.180234759333333,3.26894799966667,0.0341253313333333,0.214360091,278,71,2,38,NA,2,0,37,1,27,0.024725275,1,0,6.75,0.5,6.75,0.014128728,0.333333333,0,143,111,12,155,0.514388489,9.25,0.059210526,0.557553957,442,109,5,76,NA,2,0,80,3,54,0.035095645,1,0,7.708333333,1.166666666,7.450854701,0.019419733,0.333333333,0,147,197,21,168,0.540704278,9.806843999,0.102375994,0.643080273,2
"org.apache.commons.math.distribution",68.1764705882353,16.5882352941176,2.05882352941176,28.7058823529412,1.014162458,1.76470588235294,0.941176470588235,4.17647058823529,0.470588235294118,9,0.151413646294118,0.352941176470588,0.176470588235294,0.226550824882353,0.191176470588235,0.25857802,0.179580596764706,0.176470588235294,0.201960784294118,17.4117647058824,1,2.52941176470588,19.9411764705882,0.245939640764706,0.0153844904117647,0.0366687616470588,0.282608402411765,131,28,5,40,2,2,9,23,3,39,0.962962963,2,2,1,1,1,1,1,1,81,13,35,81,1,0.185714286,0.5,1,1159,282,35,488,17.240761786,30,16,71,8,153,2.574031987,6,3,3.851364023,3.25,4.39582634,3.052870145,3,3.433333333,296,17,43,339,4.180973893,0.261536337,0.623368948,4.804342841,1
"org.apache.commons.math.estimation",108.142857142857,23,3.71428571428571,25,0.625993550142857,0.571428571428571,0.285714285714286,23,3.71428571428571,25,0.625993550142857,0.571428571428571,0.285714285714286,1,1,1,1,1,1,108.142857142857,0,0,108.142857142857,1,0,0,1,455,97,11,51,0.878787879,2,2,97,11,51,0.878787879,2,2,1,1,1,1,1,1,455,0,0,455,1,0,0,1,757,161,26,175,4.381954851,4,2,161,26,175,4.381954851,4,2,7,7,7,7,7,7,757,0,0,757,7,0,0,7,1
"org.apache.commons.math.fraction",138.5,31.5,2.375,38.5,1.114746772875,2,0.5,21.375,1.5,26.625,0.7683182015,1.5,0.375,0.717605578875,0.729166666625,0.72009039675,0.6375754995,0.697916666625,0.625,87.625,9.625,8.5,96.125,0.6606538285,0.084599084875,0.059940467625,0.720594296375,355,87,5,60,2,3,2,87,3,60,2,3,2,1,1,1,1,1,1,355,63,33,355,1,0.623762376,0.326732673,1,1108,252,19,308,8.917974183,16,4,171,12,213,6.146545612,12,3,5.740844631,5.833333333,5.760723174,5.100603996,5.583333333,5,701,77,68,769,5.285230628,0.676792679,0.479523741,5.764754371,1
"org.apache.commons.math.genetics",41,10,3.5,9,0.7045454545,0,0,10,3.5,9,0.7045454545,0,0,1,1,1,1,1,1,41,0,0,41,1,0,0,1,67,17,6,15,0.909090909,0,0,17,6,15,0.909090909,0,0,1,1,1,1,1,1,67,0,0,67,1,0,0,1,82,20,7,18,1.409090909,0,0,20,7,18,1.409090909,0,0,2,2,2,2,2,2,82,0,0,82,2,0,0,2,0
"org.apache.commons.math.geometry",146.833333333333,23.3333333333333,1.83333333333333,23,0.5766498315,1,0,23.3333333333333,1.83333333333333,23,0.5766498315,1,0,1,1,1,1,1,1,146.833333333333,0,0,146.833333333333,1,0,0,1,507,63,5,40,1.125,2,0,63,5,40,1.125,2,0,1,1,1,1,1,1,507,0,0,507,1,0,0,1,881,140,11,138,3.459898989,6,0,140,11,138,3.459898989,6,0,6,6,6,6,6,6,881,0,0,881,6,0,0,6,0
"org.apache.commons.math.linear",372.857142857143,87.7857142857143,4.07142857142857,69.2142857142857,NA,0.785714285714286,0.357142857142857,70.9285714285714,3.28571428571429,58.7142857142857,0.705271916285714,0.642857142857143,0.357142857142857,0.7395021645,0.705782313,0.837983277071429,0.795050985785714,0.726190476142857,0.6904761905,301.142857142857,21.4285714285714,28.5,329.642857142857,0.691684239142857,0.0903111441428571,0.169449208928571,0.861133448142857,1068,252,12,164,NA,2,3,252,12,164,2,2,3,1,1,1,2,1,1,1068,258,177,1068,1,0.684350133,0.666666667,1,5220,1229,57,969,NA,11,5,993,46,822,9.873806828,9,5,10.353030303,9.880952382,11.731765879,11.130713801,10.166666666,9.666666667,4216,300,399,4615,9.683579348,1.264356018,2.372288925,12.055868274,2
