"moduleName","avg_SLOC","avg_WMC","avg_CBO","avg_RFC","avg_LCOM5","avg_DIT","avg_NOC","avg_delta_WMC","avg_delta_CBO","avg_delta_RFC","avg_delta_LCOM5","avg_delta_DIT","avg_delta_NOC","avg_X.WMC","avg_X.CBO","avg_X.RFC","avg_X.LCOM5","avg_X.DIT","avg_X.NOC","avg_addedsloc","avg_deletedsloc","avg_changedsloc","avg_churnsloc","avg_X.added","avg_X.deleted","avg_X.changed","avg_X.churn","max_SLOC","max_WMC","max_CBO","max_RFC","max_LCOM5","max_DIT","max_NOC","max_delta_WMC","max_delta_CBO","max_delta_RFC","max_delta_LCOM5","max_delta_DIT","max_delta_NOC","max_X.WMC","max_X.CBO","max_X.RFC","max_X.LCOM5","max_X.DIT","max_X.NOC","max_addedsloc","max_deletedsloc","max_changedsloc","max_churnsloc","max_X.added","max_X.deleted","max_X.changed","max_X.churn","sum_SLOC","sum_WMC","sum_CBO","sum_RFC","sum_LCOM5","sum_DIT","sum_NOC","sum_delta_WMC","sum_delta_CBO","sum_delta_RFC","sum_delta_LCOM5","sum_delta_DIT","sum_delta_NOC","sum_X.WMC","sum_X.CBO","sum_X.RFC","sum_X.LCOM5","sum_X.DIT","sum_X.NOC","sum_addedsloc","sum_deletedsloc","sum_changedsloc","sum_churnsloc","sum_X.added","sum_X.deleted","sum_X.changed","sum_X.churn","bug"
"org.apache.commons.lang3",281.954545454545,80.2272727272727,1.86363636363636,38.5454545454545,NA,0.0454545454545455,0,8.40909090909091,0.818181818181818,5.09090909090909,NA,0,0,0.227724314454545,0.254329004318182,0.260053635590909,0.185386284681818,0.136363636363636,0.136363636363636,39.8636363636364,2.90909090909091,13.2272727272727,53.0909090909091,0.278281331,0.0198724747727273,0.0334832625454545,0.3117645935,1924,574,9,286,NA,1,0,47,6,19,NA,0,0,1,1,1.058823529,1,1,1,159,24,174,306,1,0.163265306,0.236947791,1,6203,1765,41,848,NA,1,0,185,18,112,NA,0,0,5.009934918,5.595238095,5.721179983,4.078498263,3,3,877,64,291,1168,6.122189282,0.437194445,0.736631776,6.858821057,3
"org.apache.commons.lang3.builder",307.125,85.875,2.625,86,0.614523977,0.25,0.875,1.375,0.5,0.25,0.0021796175,0,0,0.014875512625,0.128472222125,0.00711137825,0.001542758,0,0,7.125,3.125,12.5,19.625,0.02382349625,0.009194326125,0.045829495125,0.069652991125,785,209,8,164,1.025,1,6,4,1,1,0.00862069,0,0,0.045454545,0.333333333,0.03125,0.006944444,0,0,23,8,57,63,0.082437276,0.028673835,0.213483146,0.235955056,2457,687,21,688,4.916191816,2,7,11,4,2,0.01743694,0,0,0.119004101,1.027777777,0.056891026,0.012342064,0,0,57,25,100,157,0.19058797,0.073554609,0.366635961,0.557223929,0
"org.apache.commons.lang3.concurrent",64,11.875,1.25,13.5,NA,0.375,0.25,9.75,1,12,0.439356303375,0.25,0.25,0.635416666625,0.666666666625,0.65277777775,0.625,0.625,0.625,56.25,0,0,56.25,0.676724137875,0,0,0.676724137875,111,26,3,26,NA,1,2,26,3,26,0.938461538,1,2,1,1,1,1,1,1,111,0,0,111,1,0,0,1,512,95,10,108,NA,3,2,78,8,96,3.514850427,2,2,5.083333333,5.333333333,5.222222222,5,5,5,450,0,0,450,5.413793103,0,0,5.413793103,0
"org.apache.commons.lang3.exception",83.4,21.4,1.6,11.8,0.8566666666,0.6,0,10,0.2,3.8,0.4017366946,0.2,0,0.3847123464,0.24,0.3515599342,0.2634972974,0.2,0.2,9.8,34.6,9.4,19.2,0.323812196,0.1423868312,0.1353208004,0.4591329966,243,67,4,28,1.5,1,0,43,1,13,1.5,1,0,1,1,1,1,1,1,12,173,15,27,1,0.711934156,0.227272727,1,417,107,8,59,4.283333333,3,0,50,1,19,2.008683473,1,0,1.923561732,1.2,1.757799671,1.317486487,1,1,49,173,47,96,1.61906098,0.711934156,0.676604002,2.295664983,0
"org.apache.commons.lang3.math",389.333333333333,112,0.333333333333333,31.6666666666667,NA,0.333333333333333,0,0.666666666666667,0,0,0,0,0,0.00341880333333333,0,0,0,0,0,2,0,0.333333333333333,2.33333333333333,0.003169572,0,0.000528262,0.003697834,631,194,1,49,NA,1,0,2,0,0,0,0,0,0.01025641,0,0,0,0,0,6,0,1,7,0.009508716,0,0.001584786,0.011093502,1168,336,1,95,NA,1,0,2,0,0,0,0,0,0.01025641,0,0,0,0,0,6,0,1,7,0.009508716,0,0.001584786,0.011093502,0
"org.apache.commons.lang3.mutable",76,22.25,0,19.875,0.58646335525,0.75,0,1.125,0,1.125,0.004368729125,0,0,0.048611485875,0,0.056286232,0.002749741,0,0,10.25,6.125,1.125,11.375,0.1294354055,0.074412666,0.017180735875,0.1466161415,89,26,0,24,0.666666667,1,0,3,0,3,0.015384615,0,0,0.157894737,0,0.2,0.00952381,0,0,23,19,5,23,0.272727273,0.213483146,0.090909091,0.363636364,608,178,0,159,4.691706842,6,0,9,0,9,0.034949833,0,0,0.388891887,0,0.450289856,0.021997928,0,0,82,49,9,91,1.035483244,0.595301328,0.137445887,1.172929132,0
"org.apache.commons.lang3.reflect",147.6,37.4,2.6,20.6,NA,0,0,3.8,1,0.8,NA,0,0,0.2272727272,0.44,0.2057142858,0.2035714286,0.2,0.2,12.4,5.4,10.6,23,0.2043555954,0.072972973,0.0708130006,0.275168596,255,63,4,34,NA,0,0,16,2,3,NA,0,0,1,1,1,1,1,1,60,27,29,60,1,0.364864865,0.132231405,1,738,187,13,103,NA,0,0,19,5,4,NA,0,0,1.136363636,2.2,1.028571429,1.017857143,1,1,62,27,53,115,1.021777977,0.364864865,0.354065003,1.37584298,0
"org.apache.commons.lang3.text",330.75,82.875,3.125,45.875,NA,0.25,0.875,7,0.375,2,NA,0,0,0.125,0.15,0.125,0.128875969,0.125,0.125,26.75,0,3.625,30.375,0.132978723375,0,0.028599967625,0.161578691,1254,341,7,142,NA,1,5,56,2,16,NA,0,0,1,1,1,1,1,1,211,0,8,211,1,0,0.170212766,1,2646,663,25,367,NA,2,7,56,3,16,NA,0,0,1,1.2,1,1.031007752,1,1,214,0,29,243,1.063829787,0,0.228799741,1.292629528,0
"org.apache.commons.lang3.text.translate",63.8888888888889,9.22222222222222,0.333333333333333,9.55555555555556,NA,1,1,0.333333333333333,0.111111111111111,0.333333333333333,0.0314814814444444,0,0,0.0249158248888889,0.0555555555555556,0.0208333333333333,0.0171717171111111,0,0,2.22222222222222,0.777777777777778,2.44444444444444,4.66666666666667,0.0799902244444444,0.0279872633333333,0.107548166888889,0.187538391333333,292,14,1,15,NA,2,7,2,1,2,0.25,0,0,0.133333333,0.5,0.125,0.136363636,0,0,8,5,7,13,0.384615385,0.153846154,0.538461538,0.923076923,575,83,3,86,NA,9,9,3,1,3,0.283333333,0,0,0.224242424,0.5,0.1875,0.154545454,0,0,20,7,22,42,0.71991202,0.25188537,0.967933502,1.687845522,1
"org.apache.commons.lang3.time",383.4,76,4.8,38.4,0.914135343,0.2,0,1.4,0,1.2,0.0002504638,0,0,0.0094594594,0,0.0206896552,0.0001258756,0,0,6,0.4,1.4,7.4,0.01045727,0.000598115,0.0023586784,0.0128159486,813,147,17,57,1.0625,1,0,7,0,6,0.001252319,0,0,0.047297297,0,0.103448276,0.000629378,0,0,29,1,6,35,0.051056338,0.001760563,0.01056338,0.061619718,1917,380,24,192,4.570676715,1,0,7,0,6,0.001252319,0,0,0.047297297,0,0.103448276,0.000629378,0,0,30,2,7,37,0.05228635,0.002990575,0.011793392,0.064079743,0
