"moduleName","avg_SLOC","avg_WMC","avg_CBO","avg_RFC","avg_LCOM5","avg_DIT","avg_NOC","avg_delta_WMC","avg_delta_CBO","avg_delta_RFC","avg_delta_LCOM5","avg_delta_DIT","avg_delta_NOC","avg_X.WMC","avg_X.CBO","avg_X.RFC","avg_X.LCOM5","avg_X.DIT","avg_X.NOC","avg_addedsloc","avg_deletedsloc","avg_changedsloc","avg_churnsloc","avg_X.added","avg_X.deleted","avg_X.changed","avg_X.churn","max_SLOC","max_WMC","max_CBO","max_RFC","max_LCOM5","max_DIT","max_NOC","max_delta_WMC","max_delta_CBO","max_delta_RFC","max_delta_LCOM5","max_delta_DIT","max_delta_NOC","max_X.WMC","max_X.CBO","max_X.RFC","max_X.LCOM5","max_X.DIT","max_X.NOC","max_addedsloc","max_deletedsloc","max_changedsloc","max_churnsloc","max_X.added","max_X.deleted","max_X.changed","max_X.churn","sum_SLOC","sum_WMC","sum_CBO","sum_RFC","sum_LCOM5","sum_DIT","sum_NOC","sum_delta_WMC","sum_delta_CBO","sum_delta_RFC","sum_delta_LCOM5","sum_delta_DIT","sum_delta_NOC","sum_X.WMC","sum_X.CBO","sum_X.RFC","sum_X.LCOM5","sum_X.DIT","sum_X.NOC","sum_addedsloc","sum_deletedsloc","sum_changedsloc","sum_churnsloc","sum_X.added","sum_X.deleted","sum_X.changed","sum_X.churn","bug"
"org.apache.commons.lang",225.290322580645,60.9354838709677,1.32258064516129,32.9677419354839,NA,0.290322580645161,0.032258064516129,1.67741935483871,0.032258064516129,1,0.00227442148387097,0,0,0.0281640809677419,0.00806451612903226,0.0278871733548387,0.00110600977419355,0,0,5.03225806451613,2.06451612903226,1.32258064516129,6.35483870967742,0.0167317330645161,0.00362045877419355,0.00377296896774194,0.0205047020322581,1608,484,6,272,NA,2,1,23,1,9,0.031746032,0,0,0.3125,0.25,0.285714286,0.015037594,0,0,80,63,31,80,0.205882353,0.109185442,0.05372617,0.205882353,6984,1889,41,1022,NA,9,1,52,1,31,0.070507066,0,0,0.87308651,0.25,0.864502374,0.034286303,0,0,156,64,41,197,0.518683725,0.112234222,0.116962038,0.635645763,3
"org.apache.commons.lang.builder",340.428571428571,97.2857142857143,2.57142857142857,99.1428571428571,0.672207044714286,0.285714285714286,1,2,0.142857142857143,1.14285714285714,0.00203215185714286,0,0,0.0300949051428571,0.0178571428571429,0.00814748028571429,0.00103360671428571,0,0,14,15.8571428571429,3.28571428571429,17.2857142857143,0.0186075407142857,0.0522246721428571,0.014138688,0.0327462285714286,782,207,7,167,1.023809524,1,6,8,1,3,0.012184874,0,0,0.181818182,0.125,0.025641026,0.006203209,0,0,96,64,13,104,0.122762148,0.26875,0.08125,0.132992327,2383,681,18,694,4.705449313,2,7,14,1,8,0.014225063,0,0,0.210664336,0.125,0.057032362,0.007235247,0,0,98,111,23,121,0.130252785,0.365572705,0.098970816,0.2292236,0
"org.apache.commons.lang.enums",81.3333333333333,21.3333333333333,2.33333333333333,18,NA,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0.0118343196666667,0,0.0118343196666667,0.023668639,169,42,4,23,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,12,0.035502959,0,0.035502959,0.071005917,244,64,7,54,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,12,0.035502959,0,0.035502959,0.071005917,0
"org.apache.commons.lang.exception",149,42.4,2.2,35.8,0.842728758,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.2,0,0.6,0.0089552238,0.0179104476,0,0.0089552238,385,112,6,42,0.970588235,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0.014925373,0.029850746,0,0.014925373,745,212,11,179,4.21364379,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,0.044776119,0.089552238,0,0.044776119,0
"org.apache.commons.lang.math",200,54.9,0.3,33.3,NA,0.7,0.5,3.6,0,0.6,0.0002508361,0,0,0.0186528497,0,0.012,0.0001240695,0,0,0,10.3,0.2,0.2,0,0.0163751987,0.0003953891,0.0003953891,629,192,1,49,NA,1,5,36,0,6,0.002508361,0,0,0.186528497,0,0.12,0.001240695,0,0,0,103,1,1,0,0.163751987,0.002364066,0.002364066,2000,549,3,333,NA,7,5,36,0,6,0.002508361,0,0,0.186528497,0,0.12,0.001240695,0,0,0,103,2,2,0,0.163751987,0.003953891,0.003953891,0
"org.apache.commons.lang.mutable",66.625,21.125,0.375,19.125,0.611120129875,0.75,0,0,0.125,0.125,0,0,0,0,0.0625,0.009615384625,0,0,0,0,0,0.125,0.125,0,0,0.002840909125,0.002840909125,79,25,1,24,0.666666667,1,0,0,1,1,0,0,0,0,0.5,0.076923077,0,0,0,0,0,1,1,0,0,0.022727273,0.022727273,533,169,3,153,4.888961039,6,0,0,1,1,0,0,0,0,0.5,0.076923077,0,0,0,0,0,1,1,0,0,0.022727273,0.022727273,0
"org.apache.commons.lang.text",171.9375,39.5,1.875,29.375,1.06789821075,1.125,0.875,8.3125,0.75,10.6875,0.7190996588125,1.0625,0.4375,0.6339384700625,0.625,0.638088768125,0.626106873,0.625,0.625,47.6875,0.125,0.1875,47.875,0.631552421,0.0003012048125,0.000157563,0.631709984,1190,327,7,137,1.571428571,3,5,32,7,38,1.571428571,3,4,1,1,1,1,1,1,214,2,3,214,1,0.004819277,0.002521008,1,2751,632,30,470,17.086371372,18,14,133,12,171,11.505594541,17,7,10.143015521,10,10.20942029,10.017709968,10,10,763,2,3,766,10.104838736,0.004819277,0.002521008,10.107359744,0
"org.apache.commons.lang.time",340.6,63.8,4.8,30.8,0.9024399012,0.2,0,2,0,0.4,0.0006035968,0,0,0.0393612236,0,0.0120370372,0.0003470238,0,0,9.4,3.6,9.2,18.6,0.0368198304,0.012939349,0.063535052,0.1003548824,807,113,17,53,1.083333333,1,0,6,0,1,0.002272727,0,0,0.111111111,0,0.041666667,0.001356852,0,0,32,13,26,47,0.089635854,0.036414566,0.265306122,0.346938776,1703,319,24,154,4.512199506,1,0,10,0,2,0.003017984,0,0,0.196806118,0,0.060185186,0.001735119,0,0,47,18,46,93,0.184099152,0.064696745,0.31767526,0.501774412,4
