relName,className,WMC,NA,NAIMP,NM,NMIMP,NumPara,SLOC1,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,ICP,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
time\Minutes.java,org.joda.time.Minutes,41,11,8,42,26,17,141,94,1,0,1,2,2,0,24,16,2,1,0,0,1,0.0476190476190476,0,0,0,0.0824175824175824,-0.0266666666666667,0.282608695652174,0.282608695652174,26,0.282608695652174,319,313,23,12,0.99,0.853626373626374,0.0523076923076923,0.0480769230769231,0.52,0,-0.111111111111109,0.282608695652174,0,0,25,0,19,7,0,0,0,75,37,46,38,0,1,6,7,6,21,301,0
time\MonthDay.java,org.joda.time.MonthDay,59,8,5,75,44,47,261,179,2,0,2,5,5,0,39,31,5,2,0,0,1,0.133333333333333,2,2,0,0.0681818181818182,-0.00775193798449612,0.150537634408602,0.264516129032258,49,0.0473118279569892,933,920,37,16,0.972093023255814,0.882381959126145,0.0380549682875264,0.05,0.162790697674419,0,-0.580952380952381,0.0279569892473118,0,0,32,0,15,2,0,0,0,152,59,74,93,0,2,0,22,0,42,396,0
time\Months.java,org.joda.time.Months,44,20,17,36,20,16,148,98,1,0,1,2,2,0,18,16,2,1,0,0,1,0.0555555555555556,0,0,0,0.116666666666667,-0.0175438596491228,0.431372549019608,0.431372549019608,24,0.431372549019608,184,178,17,7,0.993808049535604,0.803508771929825,0.0842105263157895,0.0558823529411765,0.631578947368421,0,-0.153846153846152,0.431372549019608,0,0,19,0,13,16,0,0,0,54,29,34,25,0,1,0,2,0,15,284,0
time\MutableDateTime.java,org.joda.time.MutableDateTime,118,12,9,151,85,102,489,306,3,0,3,3,3,0,82,66,3,3,0,0,1,0.0596026490066225,2,2,0,0.061344537815126,-0.00889271371199082,0.359969558599696,0.376712328767123,77,0.359969558599696,3564,3558,81,35,0.992063492063492,0.902480992396959,0.0148459383753501,0.0196078431372549,0.511904761904762,0.511904761904762,-0.413003095975232,0.35958904109589,0,0,101,0,15,1,0,0,0,412,139,231,273,0,1,1,41,6,130,444,1
time\MutableInterval.java,org.joda.time.MutableInterval,32,5,1,65,27,36,116,77,2,0,2,0,0,0,27,38,0,2,0,0,1,0,1,1,0,0.127572016460905,-0.0523076923076923,0.0441176470588235,0.0441176470588235,20,0,351,351,27,18,1.03846153846154,0.786008230452675,0.0256410256410256,0,0,0,-0.757009345794392,0,0,0,39,0,6,0,0,0,0,121,86,53,35,0,0,0,5,0,14,287,0
time\MutablePeriod.java,org.joda.time.MutablePeriod,77,5,1,109,72,129,257,161,2,0,2,4,4,0,68,37,4,2,0,0,1,0.073394495412844,1,1,0,0.094017094017094,-0.0193158953722334,0.0153061224489796,0.0178571428571429,19,0,2556,2556,72,50,1.01408450704225,0.843324906705188,0.00899843505477308,0,0,0,-0.769796624837732,0,0,0,63,0,11,0,0,0,0,305,204,111,101,0,0,2,27,3,48,383,0
time\Partial.java,org.joda.time.Partial,85,5,5,50,33,42,403,310,1,0,1,4,4,0,29,17,4,1,0,0,1,0.08,1,1,0,0.0979020979020979,0.314516129032258,0.715415019762846,0.91304347826087,51,0.91304347826087,358,188,13,2,0.76875,0.83041958041958,0.356060606060606,0.254545454545455,0.96875,0.875,-0.782945736434108,0.715415019762846,0,0,18,0,13,3,0,0,0,156,30,83,126,0,3,0,27,0,65,334,3
time\Period.java,org.joda.time.Period,114,6,2,126,86,119,470,354,2,0,2,1,1,0,85,40,1,2,0,0,1,0.0158730158730159,0,0,0,0.0831842576028623,0.00364145658263305,0.501694915254237,0.63728813559322,180,0.000564971751412429,3655,3655,86,26,1.00588235294118,0.870419867410291,0.026812585499316,0.00581395348837209,0.0117647058823529,0,-0.602438198442264,0.000564971751412429,0,0,114,0,19,1,0,0,0,499,216,203,283,0,0,12,32,21,89,443,1
time\PeriodType.java,org.joda.time.PeriodType,89,30,30,39,39,20,447,285,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0.0659340659340659,0.0753911806543385,0.665165165165165,1,153,1,703,665,28,1,0.997368421052632,0.875457875457875,0.12280701754386,0.0282051282051282,1,1,-0.843137254901962,0.256756756756757,0,0,0,0,3,20,0,0,0,64,0,62,64,2,3,49,9,79,62,48,0
time\Seconds.java,org.joda.time.Seconds,41,11,8,42,26,17,141,94,1,0,1,2,2,0,24,16,2,1,0,0,1,0.0476190476190476,0,0,0,0.0824175824175824,-0.0266666666666667,0.282608695652174,0.282608695652174,26,0.282608695652174,319,313,23,12,0.99,0.853626373626374,0.0523076923076923,0.0480769230769231,0.52,0,-0.111111111111109,0.282608695652174,0,0,25,0,19,7,0,0,0,72,37,45,35,0,1,6,7,6,20,301,0
time\TimeOfDay.java,org.joda.time.TimeOfDay,66,10,7,87,54,64,307,206,2,0,2,3,3,0,51,33,3,2,0,0,1,0.0689655172413793,2,2,0,0.0802469135802469,0.00145137880986938,0.230440967283073,0.465149359886202,61,0.112375533428165,1406,1381,41,17,0.970350404312669,0.875727929187049,0.0384346610761705,0.0476190476190476,0.245283018867925,0,-0.390710382513661,0.0355618776671408,0,0,37,0,14,2,0,0,0,176,66,86,110,0,1,3,25,1,49,370,0
time\Weeks.java,org.joda.time.Weeks,41,11,8,42,26,17,141,94,1,0,1,2,2,0,24,16,2,1,0,0,1,0.0476190476190476,0,0,0,0.0824175824175824,-0.0266666666666667,0.282608695652174,0.282608695652174,26,0.282608695652174,319,313,23,12,0.99,0.853626373626374,0.0523076923076923,0.0480769230769231,0.52,0,-0.111111111111109,0.282608695652174,0,0,25,0,19,7,0,0,0,84,37,49,47,0,1,5,7,5,24,301,0
time\YearMonth.java,org.joda.time.YearMonth,61,7,4,77,46,48,265,182,2,0,2,5,5,0,41,31,5,2,0,0,1,0.12987012987013,2,2,0,0.0666666666666667,-0.00505050505050505,0.198863636363636,0.299242424242424,58,0.0700757575757576,1022,1009,39,15,0.966666666666667,0.884057971014493,0.0386473429951691,0.0543478260869565,0.2,0,-0.611607142857142,0.053030303030303,0,0,32,0,16,1,0,0,0,156,59,77,97,0,1,0,25,0,45,391,0
time\YearMonthDay.java,org.joda.time.YearMonthDay,63,8,5,84,51,50,289,197,2,0,2,3,3,0,48,33,3,2,0,0,1,0.0714285714285714,3,3,0,0.0693815987933635,0.00163265306122449,0.251012145748988,0.47638326585695,64,0.163292847503374,1256,1237,41,16,0.964,0.881025641025641,0.0407843137254902,0.0549019607843137,0.32,0,-0.584830339321356,0.126855600539811,0,0,37,0,17,1,0,0,0,190,65,88,125,0,1,2,35,2,51,380,0
time\Years.java,org.joda.time.Years,35,11,8,36,20,16,121,80,1,0,1,2,2,0,18,16,2,1,0,0,1,0.0555555555555556,0,0,0,0.116666666666667,-0.0175438596491228,0.431372549019608,0.431372549019608,24,0.431372549019608,184,178,17,7,0.986842105263158,0.803508771929825,0.0842105263157895,0.0625,0.631578947368421,0,-0.153846153846152,0.431372549019608,0,0,19,0,13,7,0,0,0,54,29,34,25,0,1,0,2,0,15,284,0
time\base\AbstractDateTime.java,org.joda.time.base.AbstractDateTime,28,0,0,52,24,5,94,63,1,2,1,1,1,0,23,28,1,1,1,4,1,0.0192307692307692,2,1,1,0.0694444444444444,-0.0909090909090909,0,0,0,0,276,276,24,24,undefined,0.865942028985507,0,undefined,0,0,-1,0,0,0,7,2209.38939642582,6,0,0,0,5,77,7,52,70,0,0,0,8,2,45,309,0
time\base\AbstractDuration.java,org.joda.time.base.AbstractDuration,21,0,0,10,10,5,72,50,0,2,0,1,0,1,10,0,0,0,1,2,0,0,1,0,1,0.25,-0.166666666666667,0.0833333333333333,0.0833333333333333,6,0,45,45,10,7,undefined,0.633333333333333,0.0666666666666667,undefined,0,0,1,0,0,0,0,768.665044155427,3,0,0,0,4,7,0,3,7,0,0,0,2,0,2,33,0
time\base\AbstractInstant.java,org.joda.time.base.AbstractInstant,38,0,0,29,29,16,132,87,0,3,0,11,0,11,29,0,0,0,2,6,0,0,5,0,5,0.0689655172413793,-0.044973544973545,0.0238095238095238,0.0238095238095238,10,0,406,406,29,18,undefined,0.869458128078818,0.0270935960591133,undefined,0,0,-0.71428571428572,0,0,0,0,4567.78648303356,12,0,0,0,23,65,0,31,65,0,0,0,12,10,22,233,0
time\base\AbstractInterval.java,org.joda.time.base.AbstractInterval,38,0,0,27,27,15,149,103,0,2,0,1,0,1,27,0,0,0,1,3,0,0,0,0,0,0.103703703703704,-0.04,0.0233333333333333,0.0233333333333333,12,0,351,351,27,18,undefined,0.814245014245014,0.037037037037037,undefined,0,0,-0.624999999999995,0,0,0,0,3016.55616972039,11,0,0,0,18,45,0,18,45,0,0,0,7,0,16,239,0
time\base\AbstractPartial.java,org.joda.time.base.AbstractPartial,47,0,0,21,21,17,149,119,0,2,0,33,0,33,21,0,0,0,3,10,0,0,20,0,20,0.101190476190476,-0.0210526315789474,0.65,0.65,31,0,210,210,21,5,undefined,0.816666666666667,0.0761904761904762,undefined,0,0,-0.657142857142858,0,0,0,0,10471.60844284,9,0,0,0,65,19,0,10,19,0,0,0,15,0,10,225,0
time\base\AbstractPeriod.java,org.joda.time.base.AbstractPeriod,24,0,0,14,14,6,80,62,0,2,0,1,0,1,14,0,0,0,1,3,0,0,0,0,0,0.107142857142857,-0.0512820512820513,0.0769230769230769,0.0769230769230769,13,0,91,91,14,7,undefined,0.802197802197802,0.0989010989010989,undefined,0,0,1,0,0,0,0,1557.0917735036,6,0,0,0,47,16,0,9,16,0,0,0,8,1,7,254,0
time\base\BaseDateTime.java,org.joda.time.base.BaseDateTime,17,3,3,69,17,39,96,50,2,1,2,3,0,3,17,52,0,2,3,3,1,0,0,0,0,0.247058823529412,0.225,0,0,25,0,110,84,10,1,0.791666666666667,0.626470588235294,0.316176470588235,0.254901960784314,0.875,0.8125,-0.862745098039216,0,0,0,4,2040.11470044798,6,1,0,0,319,32,4,19,28,0,1,0,13,7,15,330,0
time\base\BaseDuration.java,org.joda.time.base.BaseDuration,16,2,2,25,15,19,62,42,1,1,1,0,0,0,15,10,0,1,1,1,1,0,1,1,0,0.226666666666667,0.043956043956044,0.133333333333333,0.133333333333333,3,0.133333333333333,90,75,10,7,0.857142857142857,0.664761904761905,0.171428571428571,0.2,0.571428571428571,0.285714285714286,-0.649122807017544,0.133333333333333,0,0,4,392.646728618794,9,0,0,0,14,47,4,19,43,0,0,0,15,0,15,256,0
time\base\BaseInterval.java,org.joda.time.base.BaseInterval,17,4,4,38,11,18,101,79,1,1,1,0,0,0,11,27,0,1,2,2,1,0,1,0,1,0.227272727272727,0.933333333333333,0,0,3,0,3,0,1,1,0.425,0.642424242424242,0.945454545454545,0.613636363636364,1,0.9,-0.757575757575758,0,0,0,15,1532.29832964487,11,1,0,0,77,81,31,39,50,0,1,0,4,0,23,262,0
time\base\BaseLocal.java,org.joda.time.base.BaseLocal,2,1,1,23,2,0,9,5,1,1,1,3,0,3,2,21,0,1,3,3,1,0,0,0,0,,0,undefined,undefined,0,undefined,1,1,2,2,2,,0,0,0,0,,undefined,0,0,1,40.32541501125,0,0,0,0,3,1,1,1,0,0,0,0,0,2,0,227,0
time\base\BasePartial.java,org.joda.time.base.BasePartial,18,3,3,36,16,22,85,64,1,1,1,5,1,4,15,20,1,1,4,4,1,0.0277777777777778,3,1,2,0.145833333333333,0.380952380952381,0.1,0.1,1,0.1,69,18,6,3,0.688888888888889,0.750925925925926,0.458333333333333,0.354166666666667,0.866666666666667,0.466666666666667,-0.746031746031747,0.1,0,0,7,2670.09761858258,7,1,0,0,110,53,8,31,45,0,1,0,13,0,24,307,0
time\base\BasePeriod.java,org.joda.time.base.BasePeriod,53,4,4,44,30,78,261,195,1,1,1,4,0,4,30,14,0,1,2,2,1,0,0,0,0,0.160606060606061,0.270935960591133,0,0,104,0,320,205,15,3,0.801724137931034,0.742737722048067,0.319540229885057,0.225,0.724137931034483,0.413793103448276,-0.759433962264151,0,0,0,22,4781.38429696663,16,1,0,0,152,153,26,80,127,0,1,0,22,0,57,307,0
time\base\BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,36,3,3,18,18,16,127,93,0,1,0,14,0,14,18,0,0,0,7,7,0,0,7,0,7,0.0972222222222222,-0.0294117647058824,0.227272727272727,0.318181818181818,9,0.151515151515152,150,147,16,7,0.980392156862745,0.821895424836601,0.0849673202614379,0.0740740740740741,0.411764705882353,0.352941176470588,-0.466666666666669,0.151515151515152,0,0,0,5482.97701025434,11,0,0,0,163,41,0,20,41,0,0,0,8,0,20,241,0
time\chrono\AssembledChronology.java,org.joda.time.chrono.AssembledChronology,89,40,39,56,45,20,426,303,2,3,2,103,78,25,6,11,39,2,8,15,1,1.39285714285714,2,0,2,0.0296296296296296,0.0158562367864693,0.00809716599190283,0.00809716599190283,4,0.00809716599190283,933,876,3,1,0.974358974358974,0.941750841750842,0.0595959595959596,0.0472934472934473,0.977272727272727,0.977272727272727,1,0.00809716599190283,1,2,50,35476.1703897873,4,36,0,0,105,85,82,52,3,0,35,0,2,30,2,194,0
time\chrono\BaseChronology.java,org.joda.time.chrono.BaseChronology,67,1,1,50,50,34,241,170,1,4,1,132,49,83,1,0,49,1,1,16,1,0.98,2,0,2,0.0666666666666667,-0.00935374149659864,0.0467687074829932,0.162414965986395,38,0,1225,1225,50,18,1.02040816326531,0.876734693877551,0.0310204081632653,0,0,0,-0.679012345679016,0,0,0,0,43598.8736402179,11,0,0,0,38,230,0,112,230,0,0,0,0,2,112,105,0
