relName,AvgWMC,CCMax,NTM,WMC,AvgSLOC,AvgSLOCExe,NA,NAIMP,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,SLOC,SLOCExe,stms,stmsExe,AID,CHM,DIT,NMA,NMI,NOA,PII,AMC,CBO,CC,DAC,DACquote,ICP,MPC,MPCNew,NIHICP,RFC,RFC1,UCL,bug
rhino.Node,4.051282051,118,60,474,10.48717949,7.512820513,79,79,104,117,127,117,11,106,134,1482,879,1016,759,1,132,1,116,10,1,0.195545196,2.213675214,28,259,6,3,53,26,758,53,144,143,32,0
jscomp.NodeIterators,1,1,1,1,1,0,0,0,1,1,12,1,1,0,0,147,0,97,62,1,14,1,1,11,1,0.083333333,0,0,0,0,0,0,0,0,0,12,12,0,0
jscomp.NodeNameExtractor,7.5,14,1,15,25.5,21,2,2,2,2,13,2,0,2,2,55,42,36,20,1,15,1,2,11,1,0.111111111,11.5,7,23,0,0,17,15,90,17,22,19,7,0
jscomp.NodeTraversal,1.971428571,6,15,69,8.342857143,5.4,11,11,32,35,46,35,10,25,43,354,189,243,152,1,48,1,35,11,1,0.162037037,1.714285714,22,60,6,4,73,45,136,73,99,68,63,0
jscomp.NodeUtil,4.425925926,67,60,478,10.41666667,7.407407407,3,3,1,108,119,108,3,105,154,1175,800,648,453,1,121,1,108,11,1,0.165137615,6.25,15,675,3,1,376,284,2523,376,190,163,185,1
jscomp.Normalize,1.5,2,2,6,7.5,5,4,4,4,4,15,4,2,2,6,370,20,237,153,1,17,1,4,11,1,0.133333333,2.75,13,11,1,1,30,11,39,30,64,26,9,1
jscomp.parsing.NullErrorReporter,1,1,5,5,2.8,0.4,0,0,3,5,16,5,1,4,10,34,2,14,4,1,20,1,5,11,1,0.138888889,0,3,0,0,0,0,0,0,0,16,16,2,0
rhino.jstype.NullType,1.272727273,4,10,14,3.818181818,1.545454545,12,1,11,11,92,11,0,11,3,55,17,30,17,3,86,3,1,81,3,0.361630037,1,7,11,0,0,10,7,35,2,117,109,5,0
rhino.jstype.NumberType,1.181818182,3,10,13,3.636363636,1.454545455,12,1,11,11,92,11,0,11,3,53,16,28,15,3,86,3,1,81,3,0.361630037,0.909090909,7,10,0,0,11,6,32,0,115,107,5,0
rhino.ObjArray,3.75,14,11,105,10.5,6.535714286,10,10,25,28,39,28,8,20,22,309,183,268,204,1,41,1,28,11,1,0.16091954,0,8,0,0,0,0,0,0,0,39,39,2,0
rhino.ObjToIntMap,3.5,14,6,77,12.77272727,8.636363636,9,9,21,22,33,22,7,15,21,342,190,281,177,1,35,1,22,11,1,0.15942029,0.954545455,4,21,0,0,18,14,67,18,36,36,4,0
jscomp.ObjectPropertyStringPostprocess,1,1,2,2,3,1,1,1,2,2,13,2,0,2,3,42,2,30,17,1,15,1,2,11,1,0.111111111,0.5,4,1,1,1,4,1,3,4,54,14,4,0
jscomp.ObjectPropertyStringPreprocess,1,1,2,2,4.5,2.5,6,6,2,2,13,2,0,2,3,77,5,41,24,1,15,1,2,11,1,0.111111111,3,7,6,4,2,12,4,25,12,59,17,7,0
rhino.jstype.ObjectType,1.405405405,4,29,52,4.027027027,1.945945946,14,3,36,37,120,37,0,37,29,161,72,104,57,2,133,2,30,83,2,0.383836832,0.405405405,10,15,1,1,20,10,56,6,139,133,19,0
jscomp.OptimizeArgumentsArray,2.888888889,11,5,26,11.77777778,7.777777778,7,7,9,9,20,9,2,7,14,121,70,88,52,1,22,1,9,11,1,0.15,5.111111111,9,46,3,3,56,39,168,56,80,39,25,0
jscomp.OptimizeParameters,2.705882353,8,6,46,10.35294118,6.470588235,2,2,17,17,28,17,14,3,32,198,110,144,81,1,30,1,17,11,1,0.157407407,3.058823529,9,52,2,2,75,50,254,75,129,52,62,0
jscomp.ParallelCompilerPass,2.5,5,2,15,12.66666667,8.666666667,5,5,6,6,17,6,4,2,8,112,52,85,47,1,19,1,6,11,1,0.142857143,1.5,8,9,4,4,11,7,34,11,40,23,20,0
rhino.jstype.ParameterizedType,1,1,2,2,4,1.5,18,2,2,2,122,2,0,2,3,13,3,8,3,4,126,4,1,120,4,0.469421488,0.5,2,1,1,1,3,1,3,0,185,178,2,0
rhino.Parser,5.171875,66,22,331,28.6875,21.421875,20,20,61,64,75,64,47,17,90,1867,1371,1268,921,1,77,1,64,11,1,0.164102564,13.515625,27,865,8,7,699,456,3340,699,223,149,146,0
jscomp.parsing.ParserRunner,2,4,2,10,11,7.4,3,3,1,5,16,5,3,2,8,61,37,44,26,1,18,1,5,11,1,0.138888889,3.2,10,16,2,1,33,14,137,33,486,30,15,0
jscomp.PassConfig,1.571428571,6,11,22,5.928571429,3.428571429,3,3,11,14,25,14,3,11,11,138,48,91,44,1,29,1,14,11,1,0.155555556,1.571428571,17,22,3,3,40,18,61,40,50,38,20,0
jscomp.PassFactory,1.166666667,2,5,7,4.833333333,2.666666667,3,3,6,6,17,6,2,4,4,34,16,23,11,1,19,1,6,11,1,0.142857143,0,3,0,0,0,0,0,0,0,17,17,2,0
jscomp.PerformanceTracker,1.666666667,4,7,15,6.777777778,4,9,9,8,9,20,9,2,7,10,135,36,91,50,1,22,1,9,11,1,0.15,0.555555556,8,5,6,4,10,5,28,10,125,25,16,0
jscomp.PhaseOptimizer,1.733333333,5,9,26,6.133333333,3.466666667,14,14,12,15,26,15,5,10,16,221,52,153,85,1,28,1,15,11,1,0.15625,0.866666667,14,13,9,7,21,11,65,21,165,37,27,0
jscomp.Position,1,1,3,3,3.333333333,1.333333333,2,2,3,3,14,3,0,3,2,14,4,10,4,1,16,1,3,11,1,0.125,0,0,0,0,0,0,0,0,0,14,14,0,0
jscomp.PrepareAst,2.833333333,5,2,17,10.16666667,6.333333333,2,2,6,6,17,6,3,3,7,135,38,87,61,1,19,1,6,11,1,0.142857143,5.833333333,7,35,1,1,47,26,130,47,77,34,10,0
jscomp.PrintStreamErrorManager,1.4,3,4,7,5.4,2.8,7,3,5,5,24,5,0,5,6,34,14,18,9,2,25,2,3,19,2,0.198412698,2.4,5,12,1,1,23,11,44,14,37,30,5,0
jscomp.ProcessClosurePrimitives,5.166666667,23,4,93,22.44444444,16.5,19,19,17,18,29,18,14,4,46,595,297,374,243,2,32,2,18,11,2,0.210526316,12.27777778,17,221,17,7,273,177,771,273,159,76,104,2
jscomp.ProcessDefines,2.857142857,8,4,20,12,8.285714286,10,10,6,7,18,7,4,3,11,296,58,189,111,1,20,1,7,11,1,0.145833333,4.857142857,15,34,10,6,47,27,144,47,177,40,35,0
jscomp.PropertyRenamingPolicy,1,1,2,2,0,0,7,5,2,2,19,2,0,2,1,7,0,1,0,2,22,2,2,17,2,0.148148148,0,1,0,5,1,0,0,0,0,19,19,0,0
rhino.jstype.PrototypeObjectType,2.424242424,10,15,80,8.484848485,5.090909091,21,7,33,33,127,33,2,31,28,327,168,212,134,3,113,3,7,94,3,0.406356838,2.212121212,13,73,2,2,91,56,180,13,167,161,20,0
rhino.jstype.ProxyObjectType,1.021276596,2,46,48,3.170212766,1.106382979,16,2,47,47,121,47,1,46,26,197,52,101,51,3,83,3,1,74,3,0.252777778,0.978723404,10,46,1,1,71,46,119,0,185,178,16,0
jscomp.PureFunctionIdentifier,5.714285714,10,1,40,27,19.14285714,7,7,5,7,18,7,4,3,7,455,134,294,192,1,20,1,7,11,1,0.145833333,8,19,56,6,5,85,52,229,85,100,48,48,0
jscomp.RecordFunctionInformation,2.2,4,2,11,11.4,7.6,4,4,5,5,16,5,1,4,8,66,38,39,22,2,19,2,5,11,2,0.185185185,3,9,15,4,4,21,14,89,21,179,29,15,0
rhino.jstype.RecordType,3.909090909,10,2,43,14,9,24,3,10,11,127,11,0,11,14,168,99,115,72,4,123,4,2,116,4,0.386962963,6,9,66,1,1,113,56,340,28,177,172,14,0
rhino.jstype.RecordTypeBuilder,1.333333333,2,2,4,4.666666667,2.333333333,3,3,3,3,14,3,0,3,3,20,7,14,7,1,16,1,3,11,1,0.125,1,4,3,2,2,4,2,4,4,25,16,5,0
jscomp.ReferenceCollectingCallback,2.6,11,5,26,6.9,4,6,6,9,10,21,10,2,8,21,299,40,199,110,1,23,1,10,11,1,0.151515152,2.6,9,26,4,4,29,14,66,29,72,31,28,1
jscomp.RemoveConstantExpressions,1,1,2,2,4,2,1,1,2,2,13,2,0,2,3,64,4,38,17,1,15,1,2,11,1,0.111111111,1.5,5,3,1,1,6,3,8,6,59,16,5,0
jscomp.RemoveConstantExpressionsParallel,1,1,3,3,9,5.666666667,2,2,3,3,14,3,0,3,5,32,17,18,7,1,16,1,3,11,1,0.125,1,6,3,1,1,10,3,23,10,45,17,7,0
jscomp.RemoveTryCatch,1,1,2,2,3.5,1.5,2,2,2,2,13,2,0,2,3,58,3,41,27,1,15,1,2,11,1,0.111111111,0.5,4,1,2,2,4,1,3,4,54,14,5,0
jscomp.RemoveUnusedNames,1.666666667,3,2,5,7,3.666666667,2,2,3,3,14,3,1,2,5,26,11,18,8,1,16,1,3,11,1,0.125,2.333333333,8,7,2,2,8,5,15,8,100,19,9,0
jscomp.RemoveUnusedPrototypeProperties,2.333333333,5,2,7,9.333333333,5.333333333,4,4,3,3,14,3,1,2,6,35,16,25,13,1,16,1,3,11,1,0.125,1.333333333,4,4,2,2,10,4,38,10,83,18,9,0
jscomp.RemoveUnusedVars,3.777777778,13,3,34,16.33333333,11.88888889,7,7,9,9,20,9,7,2,17,157,107,101,67,1,22,1,9,11,1,0.15,8.777777778,10,79,4,3,84,61,286,84,112,47,33,0
jscomp.RenameLabels,1,1,2,2,3,1,1,1,2,2,13,2,0,2,3,109,2,75,38,1,15,1,2,11,1,0.111111111,1,5,2,1,1,5,2,5,5,55,15,4,0
jscomp.RenameProperties,3.285714286,9,3,23,14.71428571,9.285714286,13,13,7,7,18,7,2,5,15,262,65,177,111,1,20,1,7,11,1,0.145833333,5,13,35,10,7,33,16,88,33,80,31,35,0
jscomp.RenamePrototypes,4.25,9,1,17,18,12,9,9,4,4,15,4,1,3,7,242,48,168,106,1,17,1,4,11,1,0.133333333,6.5,10,26,7,5,24,11,64,24,72,25,23,0
jscomp.RenameVars,3.4,9,4,34,15.5,10.2,18,18,10,10,21,10,7,3,18,273,102,193,118,1,23,1,10,11,1,0.151515152,3.3,11,33,11,7,39,19,116,39,77,33,35,0
jscomp.ReplaceCssNames,1,1,3,3,4.666666667,2.333333333,9,9,3,3,14,3,1,2,4,112,7,64,40,1,16,1,3,11,1,0.125,1.333333333,10,4,7,4,8,4,7,8,58,18,11,0
jscomp.ReplaceIdGenerators,1.5,2,1,3,6.5,3.5,4,4,2,2,13,2,0,2,4,50,7,32,18,1,15,1,2,11,1,0.111111111,1,7,2,4,3,8,2,9,8,58,15,8,0
jscomp.ReplaceMessages,3.777777778,7,2,34,18.44444444,12.88888889,25,3,9,9,27,9,8,1,21,174,116,101,65,3,31,3,9,18,3,0.225,9.333333333,16,84,1,1,106,61,243,101,127,65,42,0
jscomp.ReplaceStrings,2.882352941,9,4,49,12.94117647,9.117647059,11,11,16,17,28,17,12,5,28,273,155,201,109,2,31,2,17,11,2,0.209876543,4.470588235,17,76,7,6,82,52,261,82,114,60,59,0
jscomp.Result,1,1,2,2,14.5,7.5,12,12,2,2,13,2,0,2,20,43,15,28,13,1,15,1,2,11,1,0.111111111,0,4,0,9,5,0,0,0,0,13,13,25,0
jscomp.RhinoErrorReporter,1.285714286,3,6,9,6.857142857,4.142857143,7,7,5,7,18,7,3,4,19,89,29,38,16,1,22,1,7,11,1,0.145833333,1.285714286,8,9,7,3,19,7,12,19,27,23,15,0
rhino.RhinoException,2,6,10,36,6.666666667,3,13,6,18,18,48,18,1,17,12,129,54,84,56,4,53,4,15,30,4,0.28030303,0,5,0,0,0,0,0,0,0,48,48,3,0
jscomp.RuntimeTypeCheck,1.4,3,4,7,6.8,4.4,3,3,3,5,16,5,2,3,7,234,22,142,83,1,18,1,5,11,1,0.138888889,2.2,12,11,2,2,28,11,54,28,72,25,8,0
jscomp.SanityCheck,2,4,2,8,11,7.75,3,3,4,4,15,4,2,2,6,57,31,33,19,1,17,1,4,11,1,0.133333333,5.5,11,22,3,2,49,21,67,49,103,29,12,0
jscomp.Scope,1.3,3,16,26,5.45,3.2,5,5,20,20,31,20,0,20,21,220,64,159,91,1,33,1,20,11,1,0.158730159,0.9,13,18,4,4,10,7,22,10,47,38,25,0
jscomp.ScopedAliases,4,7,1,8,17,12,8,8,2,2,13,2,0,2,3,206,24,126,71,1,15,1,2,11,1,0.111111111,12.5,10,25,7,2,29,23,91,29,74,26,15,0
rhino.ScriptOrFnNode,1.677419355,4,18,52,4.774193548,2.838709677,96,17,31,31,150,31,0,31,23,167,88,150,87,2,154,2,31,119,2,0.215277778,1.677419355,9,52,5,2,89,51,345,83,200,182,7,0
rhino.ScriptRuntime,3.515151515,33,18,116,12.42424242,7.848484848,5,5,1,33,44,33,1,32,69,421,259,295,197,1,46,1,33,11,1,0.161764706,0.393939394,18,13,0,0,26,9,276,26,76,53,14,0
jscomp.SemanticReverseAbstractInterpreter,7.3,38,2,73,30.8,22.8,11,5,10,10,32,10,8,2,35,437,228,251,166,2,35,2,10,22,2,0.202020202,13.4,15,134,5,1,165,82,532,65,77,52,46,0
jscomp.ShowByPathWarningsGuard,1.5,4,5,9,5.166666667,2.666666667,2,2,6,6,19,6,1,5,7,41,16,27,14,2,20,2,4,13,2,0.388888889,1.166666667,5,7,1,1,0,0,0,0,19,19,5,0
jscomp.SimpleDefinitionFinder,2.333333333,6,4,14,9.333333333,6.166666667,4,4,5,6,17,6,1,5,6,125,37,74,43,1,19,1,6,11,1,0.142857143,2.333333333,8,14,4,3,28,14,49,28,62,24,14,0
jscomp.deps.SimpleDependencyInfo,1.142857143,2,6,8,5.142857143,2.714285714,4,4,7,7,16,7,0,7,5,48,19,25,12,1,16,1,5,9,1,0.199494949,0,2,0,2,1,0,0,0,0,16,16,6,0
rhino.SimpleErrorReporter,2,5,3,12,8.666666667,3.666666667,2,2,6,6,17,6,1,5,20,56,22,28,18,1,19,1,6,11,1,0.142857143,1.166666667,3,7,2,1,17,7,61,17,26,24,6,0
jscomp.SimpleRegion,1,1,4,4,3.75,1.5,3,3,4,4,15,4,0,4,3,20,6,14,6,1,17,1,4,11,1,0.133333333,0,1,0,0,0,0,0,0,0,15,15,0,0
rhino.jstype.SimpleSlot,1,1,4,4,3.5,1.5,3,3,4,4,15,4,0,4,3,19,6,14,6,1,18,1,4,11,1,0.133333333,0,2,0,1,1,0,0,0,0,15,15,3,0
jscomp.testing.SimpleSourceExcerptProvider,1,1,3,3,3,1,1,1,3,3,14,3,0,3,5,14,3,8,3,1,16,1,3,11,1,0.125,1,4,3,1,1,9,3,71,9,24,17,1,0
jscomp.deps.SortedDependencies,3.666666667,8,3,33,15,9.666666667,4,4,8,9,20,9,5,4,13,146,87,108,60,1,22,1,9,11,1,0.15,0.555555556,4,5,4,2,2,1,2,2,21,21,49,0
jscomp.SourceFile,1.636363636,9,19,36,6.090909091,3.318181818,6,6,12,22,33,22,1,21,27,216,73,147,82,1,39,1,22,11,1,0.15942029,0.363636364,8,8,0,0,27,8,29,27,40,39,10,1
jscomp.SourceInformationAnnotator,5,9,1,10,14.5,9.5,1,1,2,2,14,2,0,2,4,34,19,21,15,2,17,2,2,12,2,0.148148148,12.5,5,25,0,0,24,16,70,24,23,20,5,0
jscomp.SourceMap,4,9,3,36,19,13.77777778,3,3,8,9,20,9,3,6,11,243,124,200,121,1,22,1,9,11,1,0.15,8.444444444,11,76,3,2,59,37,123,59,37,31,27,0
rhino.SourcePosition,1,1,7,7,3.571428571,1.428571429,5,5,7,7,18,7,0,7,5,32,10,23,10,1,22,1,7,11,1,0.145833333,0,0,0,1,1,0,0,0,0,18,18,3,0
jscomp.graph.StandardUnionFind,1.818181818,4,6,20,9.181818182,5.727272727,2,2,11,11,22,11,2,9,10,115,63,86,47,1,24,1,11,11,1,0.152777778,2.090909091,1,23,1,1,2,1,3,2,23,23,30,0
jscomp.StrictModeCheck,3.7,8,3,37,9.5,5.7,12,12,9,10,21,10,6,4,20,154,57,92,62,2,24,2,10,11,2,0.202020202,5.9,9,59,10,2,78,46,194,78,70,30,31,0
jscomp.StrictWarningsGuard,1.5,2,1,3,3,1,0,0,2,2,15,2,1,1,1,10,2,5,2,2,16,2,0,13,2,0.211111111,1.5,3,3,0,0,1,1,2,1,16,16,2,0
rhino.jstype.StringType,1.2,3,9,12,3.7,1.5,12,1,10,10,92,10,0,10,3,49,15,26,14,3,87,3,1,82,3,0.343152218,1,7,10,0,0,11,6,32,0,115,107,5,0
jscomp.Strings,1.857142857,3,3,13,5.428571429,2.571428571,0,0,1,7,18,7,3,4,12,40,18,26,16,1,20,1,7,11,1,0.145833333,0,3,0,0,0,0,0,0,0,18,18,0,0
