relName,AvgWMC,CCMax,NTM,WMC,AvgSLOC,AvgSLOCExe,NA,NAIMP,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,SLOC,SLOCExe,stms,stmsExe,AID,CHM,DIT,NMA,NMI,NOA,PII,AMC,CBO,CC,DAC,DACquote,ICP,MPC,MPCNew,NIHICP,RFC,RFC1,UCL,ADD,MOD,DEL,bug
jscomp.graph.StandardUnionFind,1.818181818,4,6,20,9.272727273,5.818181818,2,2,11,11,22,11,2,9,10,123,64,86,47,1,24,1,11,11,1,0.152777778,2.090909091,2,23,1,1,2,1,3,2,23,23,30,8,2,0,0
jscomp.StatementFusion,4.5,11,2,27,14.5,10.66666667,1,0,3,6,29,6,5,1,9,90,64,58,38,2,31,2,5,23,2,0.199074074,8.833333333,5,53,0,0,53,40,159,50,88,61,24,90,0,0,0
jscomp.StrictModeCheck,3.818181818,8,3,42,10.36363636,6.363636364,13,13,10,11,22,11,7,4,22,177,70,105,71,2,25,2,11,11,2,0.203703704,5.363636364,10,59,11,2,95,55,238,95,79,41,36,26,25,3,0
jscomp.StrictWarningsGuard,2,3,1,4,4.5,2,2,2,2,2,15,2,1,1,1,16,4,9,4,2,16,2,0,13,2,0.211111111,3,5,6,1,1,3,3,6,3,18,18,3,6,2,0,0
rhino.jstype.StringType,1.181818182,3,10,13,3.727272727,1.545454545,16,1,11,11,130,11,0,11,4,54,17,29,15,3,124,3,1,119,3,0.350839793,0.909090909,7,10,0,0,11,6,12,0,289,175,6,5,3,0,0
jscomp.Strings,2,3,2,8,6.25,3,0,0,1,4,15,4,3,1,8,27,12,15,10,1,17,1,4,11,1,0.133333333,0,2,0,0,0,0,0,0,0,15,15,0,0,0,13,0
jscomp.StripCode,1,1,3,3,6,2.666666667,8,8,3,3,14,3,0,3,7,310,8,182,120,1,16,1,3,11,1,0.125,0.333333333,6,1,8,3,4,1,3,4,54,15,15,36,26,44,0
jscomp.SuppressDocWarningsGuard,4.666666667,11,1,14,15.33333333,10.33333333,2,2,3,3,16,3,0,3,2,53,31,34,19,2,17,2,1,13,2,0.322222222,5,10,15,1,1,11,8,17,9,26,24,10,53,0,0,0
jscomp.SymbolTable,3.081632653,14,23,151,11.73469388,7.693877551,11,11,49,49,60,49,18,31,67,1012,377,634,366,1,62,1,49,11,1,0.163333333,4.408163265,33,216,10,7,214,164,546,214,176,134,157,1012,0,0,0
jscomp.SyntacticScopeCreator,3.25,10,3,26,15.125,11.125,7,7,6,8,19,8,3,5,13,170,89,111,69,1,21,1,8,11,1,0.148148148,6,14,48,5,4,52,42,120,52,46,40,34,27,31,9,0
jscomp.SyntheticAst,1,1,6,6,3.833333333,1.833333333,4,4,6,6,17,6,0,6,3,34,11,21,10,1,19,1,6,11,1,0.142857143,0.833333333,8,5,3,3,10,5,20,10,31,22,8,7,6,0,0
jscomp.jsonml.TagAttr,1,1,6,6,2,0.666666667,19,17,5,6,22,6,2,4,3,38,4,14,6,2,24,2,5,16,2,0.204793028,0,2,0,16,2,0,0,0,0,22,22,1,38,0,0,0
jscomp.jsonml.TagType,1,1,2,2,0,0,53,51,2,2,19,2,0,2,1,53,0,1,0,2,22,2,2,17,2,0.148148148,0,1,0,51,1,0,0,0,0,19,19,0,53,0,0,0
rhino.jstype.TemplateType,1,1,7,7,3.142857143,1.142857143,23,2,7,7,179,7,0,7,6,31,8,18,8,4,178,4,1,172,4,0.477902622,0.714285714,6,5,0,0,5,2,5,2,370,273,3,11,2,0,0
rhino.jstype.TernaryValue,3.222222222,5,2,29,6.888888889,2.111111111,5,3,8,9,25,9,0,9,18,88,19,44,19,2,27,2,8,16,2,0.217138707,0,2,0,3,1,0,0,0,0,25,25,0,3,0,0,0
jscomp.testing.TestErrorReporter,1.666666667,2,2,10,5.666666667,2.833333333,4,4,6,6,17,6,0,6,17,43,17,22,11,2,20,2,6,11,2,0.19047619,0,2,0,0,0,0,0,0,0,17,17,1,2,2,4,0
rhino.testing.TestErrorReporter,1.5,2,4,12,5.125,2.625,4,4,7,8,19,8,0,8,12,49,21,28,15,2,22,2,8,11,2,0.197530864,0,2,0,0,0,0,0,0,0,19,19,0,2,2,4,0
jscomp.TightenTypes,4.35,27,6,87,17.25,12.45,8,8,20,20,31,20,7,13,27,983,249,672,420,1,33,1,20,11,1,0.158730159,8.15,22,163,7,4,178,129,524,178,151,90,93,24,42,12,0
rhino.Token,102,102,0,102,106,103,105,105,0,1,12,1,0,1,1,215,103,107,103,1,14,1,1,11,1,0.083333333,0,2,0,0,0,0,0,0,0,12,12,0,10,23,143,0
rhino.TokenStream,47,90,0,94,71,65,0,0,0,2,13,2,0,2,2,144,130,241,232,1,15,1,2,11,1,0.111111111,0,2,0,0,0,0,0,0,0,13,13,0,26,91,1230,1
jscomp.Tracer,2.074074074,7,12,56,7.592592593,4.851851852,16,16,5,27,37,27,3,24,17,497,131,351,216,1,38,1,26,10,1,0.190796857,0.962962963,12,26,6,4,20,17,239,20,51,46,17,6,7,0,0
jscomp.TransformAMDToCJSModule,1,1,4,4,3.25,1.25,6,6,4,4,15,4,2,2,6,205,5,123,78,1,17,1,4,11,1,0.133333333,0.5,7,2,4,2,8,2,6,8,60,17,9,205,0,0,0
jscomp.TypeCheck,7.571428571,110,9,318,27.71428571,21.38095238,50,50,41,42,53,42,31,11,120,1361,898,714,473,1,55,1,42,11,1,0.162790698,13.78571429,34,579,42,9,728,437,2205,728,455,200,269,388,165,156,5
jscomp.TypeInference,5.1,66,13,255,20.26,15.06,13,9,49,50,77,50,43,7,106,1084,753,661,427,3,81,3,50,27,3,0.245098039,8.84,33,442,6,6,456,325,1122,452,432,203,213,331,116,129,3
jscomp.TypeInferencePass,1.4,2,3,7,9.2,6.2,6,6,5,5,16,5,1,4,11,75,31,42,20,1,18,1,5,11,1,0.138888889,3.6,18,18,5,5,44,17,127,44,140,31,20,6,21,15,0
jscomp.parsing.TypeSafeDispatcher,3.159090909,96,43,139,4.75,3.613636364,0,0,44,44,55,44,0,44,44,211,159,100,55,1,58,1,44,11,1,0.162962963,1.931818182,3,85,0,0,0,0,0,0,55,55,88,4,1,1,0
jscomp.TypeValidator,2.764705882,11,9,94,11.14705882,7.029411765,17,17,34,34,45,34,11,23,122,466,239,242,148,1,47,1,34,11,1,0.161904762,4.558823529,22,155,15,6,219,151,388,219,286,112,145,117,71,32,2
jscomp.TypedCodeGenerator,5.5,16,2,33,22.16666667,16.5,8,0,6,6,34,6,4,2,10,136,99,94,69,2,36,2,5,28,2,0.196679438,11.33333333,13,68,0,0,75,67,710,63,189,80,22,48,26,1,0
jscomp.TypedScopeCreator,2.1,6,7,21,12.6,9.2,17,17,10,10,21,10,5,5,18,1303,92,791,493,1,23,1,10,11,1,0.151515152,5.6,22,56,14,7,96,53,196,96,306,59,50,651,280,241,5
jscomp.graph.UndiGraph,1,1,4,4,1,0,2,0,4,4,37,4,0,4,4,12,0,9,0,2,41,2,4,33,2,0.177777778,0,1,0,0,0,0,0,0,0,41,39,6,1,2,0,0
rhino.jstype.UnionType,3.051282051,9,6,119,9.769230769,5.820512821,18,3,39,39,135,39,1,38,26,416,227,290,182,2,106,2,7,96,2,0.329861111,3.41025641,17,133,1,1,162,98,1671,73,311,187,45,112,17,19,0
rhino.jstype.UnionTypeBuilder,5.571428571,24,3,39,21.14285714,15.28571429,10,10,7,7,18,7,2,5,4,160,107,110,76,1,20,1,7,11,1,0.145833333,5.714285714,8,40,3,3,56,40,125,56,170,39,21,99,15,19,0
rhino.jstype.UnknownType,1.047619048,2,20,22,3.095238095,1.047619048,20,2,21,21,175,21,0,21,14,88,22,46,22,3,160,3,1,154,3,0.39664751,0.19047619,10,4,0,0,2,1,2,0,325,232,9,3,6,27,0
jscomp.UnreachableCodeElimination,1.2,2,4,6,4.8,2.8,3,3,5,5,16,5,0,5,9,135,14,84,56,2,19,2,5,11,2,0.185185185,3,12,15,2,2,28,14,70,28,88,28,14,62,50,8,2
rhino.jstype.UnresolvedTypeExpression,1,1,2,2,5,2.5,23,3,2,2,176,2,0,2,5,16,5,11,5,4,180,4,1,174,4,0.468571429,1.5,5,3,1,1,7,2,11,4,365,234,4,0,2,3,0
jscomp.UseSite,1,1,3,3,3.666666667,1.666666667,3,3,3,3,12,3,0,3,4,18,5,12,5,1,12,1,1,9,1,0.143939394,0,4,0,3,3,0,0,0,0,12,12,6,10,1,0,0
jscomp.jsonml.Validator,2.352941176,43,32,120,7.823529412,5.196078431,7,7,49,51,62,51,49,2,62,420,265,281,205,1,64,1,51,11,1,0.163461538,1.862745098,7,95,1,1,22,18,36,22,66,66,57,420,0,0,0
rhino.jstype.ValueType,1,1,4,4,3,1,15,0,4,4,129,4,0,4,5,16,4,9,4,2,134,2,1,125,2,0.230034722,0.5,5,2,0,0,2,1,2,0,283,169,3,7,0,4,0
jscomp.VarCheck,3,13,4,24,13.25,9.25,11,11,8,8,19,8,3,5,11,171,74,97,59,2,22,2,8,11,2,0.197530864,6,19,48,9,4,87,44,154,87,131,52,30,51,18,8,1
jscomp.VariableMap,1.866666667,4,9,28,7.133333333,4.266666667,3,3,9,15,26,15,4,11,14,113,64,83,48,1,28,1,15,11,1,0.15625,0,6,0,2,1,0,0,0,0,26,26,15,35,14,4,0
jscomp.VariableNameGenerator,1.5,2,1,3,5,3,2,2,2,2,13,2,0,2,1,14,6,11,4,1,15,1,2,11,1,0.111111111,1.5,3,3,2,2,8,3,37,8,20,16,4,4,2,3,0
jscomp.VariableReferenceCheck,1,1,3,3,5,2.666666667,6,6,3,3,14,3,0,3,6,113,8,68,37,1,16,1,3,11,1,0.125,1.333333333,7,4,6,4,12,4,8,12,58,17,14,14,26,4,0
jscomp.VariableRenamingPolicy,1,1,2,2,0,0,6,4,2,2,19,2,0,2,1,6,0,1,0,2,22,2,2,17,2,0.148148148,0,1,0,4,1,0,0,0,0,19,19,0,0,0,0,0
jscomp.VariableVisibilityAnalysis,2.25,6,3,9,10.25,6.75,2,2,3,4,15,4,1,3,5,52,27,31,17,1,17,1,4,11,1,0.133333333,3.5,7,14,2,2,15,9,19,15,61,23,14,52,0,0,0
jscomp.VerboseMessageFormatter,2,5,3,8,5.75,3.5,3,0,4,4,20,4,1,3,4,27,14,16,6,2,23,2,4,16,2,0.177777778,2.75,7,11,0,0,7,4,22,0,22,21,3,2,1,0,0
rhino.jstype.VoidType,1.181818182,3,10,13,3.636363636,1.454545455,16,1,11,11,130,11,0,11,4,53,16,28,15,3,124,3,1,119,3,0.350839793,1,7,11,0,0,12,6,12,2,290,176,5,4,1,0,0
jscomp.ant.Warning,1,1,4,4,3,1,2,2,4,4,15,4,0,4,2,16,4,11,4,1,17,1,4,11,1,0.133333333,0,2,0,1,1,0,0,0,0,15,15,3,16,0,0,0
jscomp.WarningLevel,1.5,4,5,9,9.666666667,8.166666667,5,3,3,6,23,6,3,3,5,63,49,45,40,2,26,2,6,17,2,0.19047619,10.5,6,63,3,1,31,11,22,31,34,26,4,24,0,2,0
jscomp.WarningsGuard,1,1,4,4,2.5,0.75,0,0,4,4,15,4,3,1,3,28,3,14,5,1,24,1,4,11,1,0.133333333,0.5,4,2,0,0,0,0,0,0,15,15,4,16,2,0,0
jscomp.WhitelistWarningsGuard,1.75,4,6,21,6.5,3.583333333,3,3,4,12,25,12,3,9,13,150,43,101,59,2,26,2,10,13,2,0.413131313,0.5,8,6,3,3,1,1,2,1,26,26,21,150,0,0,0
jscomp.jsonml.Writer,4.175,82,17,167,16.7,13.4,0,0,40,40,51,40,39,1,93,670,536,478,368,1,53,1,40,11,1,0.162601626,10.05,9,402,0,0,424,212,572,424,73,68,151,670,0,0,0
jscomp.XtbMessageBundle,1.5,4,5,9,8.166666667,5.666666667,3,3,6,6,17,6,1,5,9,131,34,85,44,1,19,1,6,11,1,0.142857143,0.166666667,9,1,2,2,2,1,2,2,18,18,15,132,0,0,0
