relName,AvgWMC,CCMax,NTM,WMC,AvgSLOC,AvgSLOCExe,NA,NAIMP,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,SLOC,SLOCExe,stms,stmsExe,AID,CHM,DIT,NMA,NMI,NOA,PII,AMC,CBO,CC,DAC,DACquote,ICP,MPC,MPCNew,NIHICP,RFC,RFC1,UCL,ADD,MOD,DEL,bug
jscomp.PeepholeReplaceKnownMethods,6.666666667,21,3,120,29.77777778,22.38888889,3,2,18,18,41,18,16,2,41,541,403,383,282,2,43,2,17,23,2,0.223765432,8.722222222,12,157,1,1,211,157,705,195,197,78,83,541,0,0,1
jscomp.PeepholeSimplifyRegExp,10,10,0,10,33,26,1,0,1,1,25,1,0,1,2,36,26,21,13,2,28,2,1,24,2,0.111111111,21,5,21,0,0,28,21,470,27,99,51,3,36,0,0,0
jscomp.PeepholeSubstituteAlternateSyntax,5.166666667,26,14,248,22.22916667,17.0625,11,10,45,48,71,48,40,8,55,1101,819,759,523,2,73,2,47,23,2,0.231481481,11.0625,14,531,5,5,677,455,2062,620,265,157,213,1101,0,0,3
jscomp.PerformanceTracker,3.3,7,3,33,18,13.8,10,10,8,10,21,10,4,6,17,262,138,200,135,1,23,1,10,11,1,0.151515152,3.5,10,35,6,6,20,10,79,20,144,28,28,150,23,23,0
jscomp.PhaseOptimizer,1.866666667,5,9,28,7.133333333,4.266666667,17,17,12,15,26,15,5,10,17,255,64,175,104,1,28,1,15,11,1,0.15625,1.2,15,18,10,8,26,13,77,26,174,38,29,71,25,37,0
jscomp.PrepareAst,2.5,5,2,15,9,5.5,2,2,6,6,17,6,3,3,7,119,33,74,51,1,19,1,6,11,1,0.142857143,3,7,18,1,1,30,18,68,30,84,31,10,39,29,55,1
jscomp.PreprocessorSymbolTable,1.1,2,9,11,2.9,1.4,3,3,10,10,21,10,0,10,6,51,14,31,14,1,23,1,10,11,1,0.151515152,0.4,7,4,3,3,9,4,27,9,30,25,11,51,0,0,0
jscomp.PrintStreamErrorManager,1.4,3,4,7,5.4,2.8,7,3,5,5,24,5,0,5,6,34,14,18,9,2,25,2,3,19,2,0.198412698,2.4,5,12,1,1,23,11,44,14,37,30,5,0,0,0,0
jscomp.ProcessClosurePrimitives,5.227272727,23,5,115,22.77272727,16.77272727,23,23,21,22,33,22,17,5,54,752,369,472,304,2,36,2,22,11,2,0.212560386,10.36363636,22,228,22,8,315,209,904,315,219,93,125,188,72,31,1
jscomp.ProcessCommonJSModules,1.5,3,5,12,6,3.375,8,8,6,8,19,8,1,7,13,173,27,106,63,1,21,1,8,11,1,0.148148148,0.125,8,1,2,2,4,1,3,4,59,20,8,173,0,0,2
